BLANumber,Applicant,Status,OriginalLicensureDate,LastUpdateDate
103780,"EMD Serono, Inc.",Licensed,NaT,2002-03-07
103782,Endo Operations Limited,Licensed,NaT,1998-04-20
103786,"Chiesi USA, Inc.",Licensed,NaT,1996-10-30
103788,BTG International Inc.,Licensed,NaT,2000-10-02
103792,"Genentech, Inc.",Licensed,NaT,1998-09-25
103795,Immunex Corporation,Licensed,NaT,1998-11-02
103810,"ALK-Abello, Inc.",Licensed,NaT,2071-12-16
103820,Emergent BioDefense Operations Lansing LLC,Licensed,NaT,1998-11-12
103821,Emergent BioDefense Operations Lansing LLC,Licensed,NaT,1998-11-12
103836,Horizon Therapeutics Ireland DAC,Licensed,NaT,1999-02-25
103837,Seqirus Vaccines Limited,Licensed,NaT,1998-11-03
103846,"Solstice NeuroSciences, LLC",Licensed,NaT,2000-12-08
103850,GlaxoSmithKline Biologicals,Licensed,NaT,2001-05-11
103869,Genzyme Corporation,Licensed,NaT,1999-05-19
103870,Jubilant HollisterStier LLC,Licensed,NaT,2024-03-13
103871,Jubilant HollisterStier LLC,Licensed,NaT,2024-03-13
103872,Jubilant HollisterStier LLC,Licensed,NaT,2024-03-13
103873,Jubilant HollisterStier LLC,Licensed,NaT,2024-03-13
103874,Jubilant HollisterStier LLC,Licensed,NaT,2024-03-13
103875,Jubilant HollisterStier LLC,Licensed,NaT,2024-03-13
103876,Jubilant HollisterStier LLC,Licensed,NaT,2024-03-13
103877,Jubilant HollisterStier LLC,Licensed,NaT,2024-03-13
103878,Jubilant HollisterStier LLC,Licensed,NaT,2024-03-13
103879,Jubilant HollisterStier LLC,Licensed,NaT,2024-03-13
103880,Jubilant HollisterStier LLC,Licensed,NaT,2024-03-13
103882,Jubilant HollisterStier LLC,Licensed,NaT,2024-03-13
103883,Jubilant HollisterStier LLC,Licensed,NaT,2024-03-13
103884,Jubilant HollisterStier LLC,Licensed,NaT,2024-03-13
103885,Jubilant HollisterStier LLC,Licensed,NaT,2024-03-13
103886,Jubilant HollisterStier LLC,Licensed,NaT,2024-03-13
103887,Jubilant HollisterStier LLC,Licensed,NaT,2024-03-13
103889,Jubilant HollisterStier LLC,Licensed,NaT,2024-03-13
103890,Jubilant HollisterStier LLC,Licensed,NaT,2024-03-13
103891,Jubilant HollisterStier LLC,Licensed,NaT,2024-03-13
103905,Wyeth Pharmaceuticals LLC,Voluntarily Revoked,NaT,2000-02-17
103907,GlaxoSmithKline Biologicals,Licensed,NaT,2002-12-13
103909,"Genentech, Inc.",Licensed,NaT,2000-06-02
103910,BTG International Inc.,Licensed,NaT,2001-08-31
103913,Sanofi Pasteur Inc.,Voluntarily Revoked,NaT,1999-12-09
103914,Sanofi Pasteur Inc.,Licensed,NaT,1999-12-09
103915,Sanofi Pasteur Inc.,Licensed,NaT,1999-12-09
103919,Sanofi Pasteur Inc.,Voluntarily Revoked,NaT,1999-12-09
103921,Sanofi Pasteur Inc.,Voluntarily Revoked,NaT,1999-12-09
103922,Sanofi Pasteur Inc.,Voluntarily Revoked,NaT,1999-12-09
103923,Sanofi Pasteur Inc.,Voluntarily Revoked,NaT,1999-12-09
103924,Sanofi Pasteur Inc.,Voluntarily Revoked,NaT,1999-12-09
103925,Sanofi Pasteur Inc.,Voluntarily Revoked,NaT,1999-12-09
103926,Sanofi Pasteur Inc.,Voluntarily Revoked,NaT,1999-12-09
103928,"Palatin Technologies, Inc.",Voluntarily Revoked,NaT,2004-07-02
103930,Sanofi Pasteur SA,Licensed,NaT,2000-02-04
103931,Sanofi Pasteur SA,Licensed,NaT,2000-02-04
103932,Sanofi Pasteur SA,Voluntarily Revoked,NaT,2001-03-06
103935,Sanofi Pasteur SA,Licensed,NaT,2000-02-04
103936,Sanofi Pasteur SA,Licensed,NaT,2000-02-04
103937,Sanofi Pasteur Limited,Voluntarily Revoked,NaT,2000-02-24
103940,Sanofi Pasteur Limited,Licensed,NaT,2000-02-24
103941,Sanofi Pasteur Limited,Licensed,NaT,2000-02-24
103942,Sanofi Pasteur Limited,Voluntarily Revoked,NaT,2000-02-24
103943,Sanofi Pasteur Limited,Voluntarily Revoked,NaT,2000-02-24
103944,Sanofi Pasteur Limited,Voluntarily Revoked,NaT,2000-02-24
103945,"ADMA Biologics, Inc.",Licensed,NaT,2001-10-23
103946,Sanofi-Aventis U.S. LLC,Licensed,NaT,2002-07-12
103948,Genzyme Corporation,Licensed,NaT,2001-05-07
103949,Merck Sharp & Dohme LLC,Voluntarily Revoked,NaT,2001-01-19
103950,Swedish Orphan Biovitrum AB (publ),Licensed,NaT,2001-11-14
103951,Amgen Inc.,Licensed,NaT,2001-09-17
103953,CSL Behring LLC,Voluntarily Revoked,NaT,2003-05-14
103955,CSL Behring LLC,Voluntarily Revoked,NaT,2000-03-17
103956,CSL Behring LLC,Voluntarily Revoked,NaT,2000-03-17
103957,CSL Behring LLC,Voluntarily Revoked,NaT,2000-03-17
103960,CSL Behring GmbH,Licensed,NaT,2000-04-11
103964,pharmaand GmbH,Licensed,NaT,2002-10-16
103969,ALK - Abello A/S,Voluntarily Revoked,NaT,1991-10-08
103970,ALK - Abello A/S,Voluntarily Revoked,NaT,1991-10-08
103971,ALK - Abello A/S,Voluntarily Revoked,NaT,1991-10-08
103972,ALK - Abello A/S,Voluntarily Revoked,NaT,1991-10-08
103973,ALK - Abello A/S,Voluntarily Revoked,NaT,1991-10-08
103974,ALK - Abello A/S,Voluntarily Revoked,NaT,1991-10-08
103976,"Genentech, Inc.",Licensed,NaT,2003-06-20
103979,Genzyme Corporation,Licensed,NaT,2003-04-24
103980,Baxter Healthcare Corporation,Licensed,NaT,1998-05-01
125010,Omrix Biopharmaceuticals Ltd,Voluntarily Revoked,NaT,2003-03-21
125011,GlaxoSmithKline LLC,Voluntarily Revoked,NaT,2003-06-27
125019,Acrotech Biopharma Inc.,Licensed,NaT,2002-02-19
125020,"MedImmune, LLC",Licensed,NaT,2003-06-17
125029,Eli Lilly and Company,Voluntarily Revoked,NaT,2001-11-21
125031,Amgen Inc.,Licensed,NaT,2002-01-31
125034,California Department of Public Health (CDPH),Licensed,NaT,2003-10-23
125035,Kamada Ltd.,Licensed,NaT,2006-01-27
125036,"Astellas Pharma US, Inc.",Voluntarily Revoked,NaT,2003-01-30
125039,"Takeda Pharmaceuticals U.S.A., Inc.",Licensed,NaT,2002-12-23
125046,Grifols Therapeutics LLC,Licensed,NaT,2003-08-27
125057,AbbVie Inc.,Licensed,NaT,2002-12-31
125058,BioMarin Pharmaceutical Inc.,Licensed,NaT,2003-04-30
125062,Octapharma Pharmazeutika Produktionsges.m.b.H.,Licensed,NaT,2004-05-21
125063,"Takeda Pharmaceuticals U.S.A., Inc.",Licensed,NaT,2003-07-25
125070,CSL Behring AG,Licensed,NaT,2004-02-12
125075,"Genentech, Inc.",Voluntarily Revoked,NaT,2003-10-27
125077,"Instituto Grifols, S.A.",Licensed,NaT,2003-12-15
125078,CSL Behring LLC,Licensed,NaT,2003-07-08
125083,Hoffmann-La Roche Inc.,Voluntarily Revoked,NaT,2004-06-04
125084,Eli Lilly and Company,Licensed,NaT,2004-02-12
125085,"Genentech, Inc.",Licensed,NaT,2004-02-26
125089,Sanofi Pasteur Inc.,Licensed,NaT,2005-01-14
125103,Swedish Orphan Biovitrum AB (publ),Licensed,NaT,2004-12-15
125104,Biogen Inc.,Licensed,NaT,2004-11-23
125105,"Takeda Pharmaceuticals U.S.A., Inc.",Licensed,NaT,2005-04-27
125106,GlaxoSmithKline Biologicals,Licensed,NaT,2005-05-03
