ApplNo,ProductNo,TECode
090321,001,AB
090321,002,AB
090321,003,AB
090321,004,AB
022580,001,AB
022580,002,AB
022580,003,AB
022580,004,AB
205122,001,AB2
205122,002,AB2
205122,003,AB2
205122,004,AB2
205122,005,AB2
021284,004,AB1
021284,001,AB1
021284,002,AB1
021284,003,AB1
215012,001,AB
215012,002,AB
215012,003,AB
020401,001,AB4
020401,002,AB4
020401,003,AB4
020401,004,AB4
020401,005,AB4
020401,006,AB4
213397,001,AB
213397,002,AB
206419,001,AB
206419,002,AB
204562,001,AB
204562,002,AB
079141,001,AB
079141,002,AB
203016,001,AB
203016,002,AB
216917,001,AB
216917,002,AB
213858,001,AB
213858,002,AB
206210,001,AB1
206210,002,AB1
206210,003,AB1
206210,004,AB1
217248,001,AB1
217248,002,AB1
217248,003,AB1
217248,004,AB1
218695,001,AB2
218695,002,AB2
218695,003,AB2
218695,004,AB2
218695,005,AB2
217231,001,AB1
217231,002,AB1
217231,003,AB1
217231,004,AB1
210278,001,AB2
210278,002,AB2
210278,003,AB2
210278,004,AB2
210278,005,AB2
215561,001,AB1
215561,002,AB1
215561,003,AB1
215561,004,AB1
205976,002,AB1
205976,003,AB1
205976,004,AB1
205976,001,AB1
215638,001,AB2
215638,002,AB2
215638,003,AB2
215638,004,AB2
215638,005,AB2
207382,001,AB1
208949,001,AB2
207382,002,AB1
208949,002,AB2
207382,003,AB1
208949,003,AB2
208949,004,AB2
207382,004,AB1
208949,005,AB2
201635,001,AB1
201635,002,AB1
201635,003,AB1
201635,004,AB1
091289,001,AB
213185,001,AB
201291,001,AB
214760,001,AB
217767,001,AB
217767,002,AB
217767,003,AB
212277,001,AB
212277,002,AB
212277,003,AB
200834,001,AB
200834,002,AB
200834,003,AB
078421,001,AB
078421,002,AB
078421,003,AB
217390,001,AB
217390,002,AB
217390,003,AB
203332,001,AB
203332,002,AB
203332,003,AB
204889,001,AB
204889,002,AB
204889,003,AB
201272,001,AB
201272,002,AB
201272,003,AB
091123,001,AB
091123,002,AB
091123,003,AB
078865,001,AB
078865,002,AB
078865,003,AB
076565,001,AB
076565,002,AB
076565,003,AB
214654,001,AB
214654,002,AB
214654,003,AB
090174,001,AB
090174,002,AB
090174,003,AB
075138,001,AB
075138,002,AB
075138,003,AB
019614,001,AB
019614,003,AB
019614,002,AB
206006,001,AB
202588,001,AB
021951,001,AB2
021951,002,AB2
021951,005,AB2
021951,003,AB2
021951,006,AB2
021951,004,AB2
075047,001,AB
075047,002,AB
074007,001,AB
074007,002,AB
050278,003,AB
050278,001,AB
217774,001,AB
217774,002,AB
217774,003,AB
091455,001,AB
091455,002,AB
202552,001,AB
202552,002,AB
202552,003,AB
202552,004,AB
202148,001,AB
202148,002,AB
204633,001,AB
204633,002,AB
204633,003,AB
204633,004,AB
202897,001,AB
202897,002,AB
019594,002,AB
075090,001,AB
075677,001,AB
204313,001,AB
201445,001,AB
206261,001,AB
074889,001,AB
074578,001,AB
212173,001,AB
020333,001,AB
217753,001,AB
216843,001,AB
208295,001,AB
208966,001,AB
078720,001,AB
209171,001,AB
214580,001,AB
211354,001,AB
210129,001,AB
212044,001,AB
071293,001,AB
209047,001,AB
070589,001,AB
208278,001,AB
021908,002,AB
021908,001,AB
202239,001,AB
202239,002,AB
202239,003,AB
202239,004,AB
202239,005,AB
202239,006,AB
077183,001,AB
077183,002,AB
077183,003,AB
090149,001,AB
077183,004,AB
090149,002,AB
091431,001,AB
091431,002,AB
091431,003,AB
091431,004,AB
091431,005,AB
091431,006,AB
078466,001,AB
078466,002,AB
078466,003,AB
078466,005,AB
078466,004,AB
078466,006,AB
077890,001,AB
077890,002,AB
077890,003,AB
077890,004,AB
090364,001,AB
090364,002,AB
075945,001,AB1
075945,002,AB1
075945,004,AB1
075945,003,AB1
065271,001,AB
065271,002,AB
062058,001,AB
062058,002,AB
065291,001,AB
065291,002,AB
207471,001,AB
207471,002,AB
064076,001,AB
064076,002,AB
061926,001,AB
061926,003,AB
062216,001,AB
062216,004,AB
216554,002,AB
064082,002,AB
019906,001,AB
019906,002,AB
019906,003,AB
076910,001,AB
076910,002,AB
076468,001,AB
076468,002,AB
209151,001,AB
209151,002,AB
017001,001,AB
017001,002,AB
021695,001,AB
021695,003,AB
207777,001,AB
207777,002,AB
207777,003,AB
090999,001,AB
090999,002,AB
090999,003,AB
211835,001,AB
211835,002,AB
211835,003,AB
204806,001,AB
204806,002,AB
204806,003,AB
204806,004,AB
212278,001,AB
212278,002,AB
212278,003,AB
212579,001,AB
212579,002,AB
212579,003,AB
091673,001,AB
091673,002,AB
091673,003,AB
091673,004,AB
078983,001,AB
078983,002,AB
078983,003,AB
078983,004,AB
078983,005,AB
078983,006,AB
078983,007,AB
079016,001,AB
079016,002,AB
079016,003,AB
079016,004,AB
079016,005,AB
079016,006,AB
079016,007,AB
090609,001,AB
090609,002,AB
090609,003,AB
090609,004,AB
090609,005,AB
090609,006,AB
090609,007,AB
079019,001,AB
079019,002,AB
079019,003,AB
079019,004,AB
079019,005,AB
079019,006,AB
079019,007,AB
202682,001,AB
202682,002,AB
202682,003,AB
202682,004,AB
202682,005,AB
202682,006,AB
202682,007,AB
079021,001,AB
079021,002,AB
079021,003,AB
079021,004,AB
079021,005,AB
079021,006,AB
079021,007,AB
079022,001,AB
079022,002,AB
079022,003,AB
079022,004,AB
079022,005,AB
079022,006,AB
079022,007,AB
079017,007,AB
079017,001,AB
079017,002,AB
079017,003,AB
079017,004,AB
079017,005,AB
079017,006,AB
021319,001,AB
077883,001,AB
219422,001,AB
077806,001,AB
217592,001,AB
211518,001,AA
211518,003,AA
081297,001,AA
081297,002,AA
202765,002,AA
202765,001,AA
040682,001,AA
040682,002,AA
091133,001,AA
091133,002,AA
206948,001,AA
206948,002,AA
040627,001,AA
040627,002,AA
040597,001,AA
040597,002,AA
210105,001,AB
209861,001,AB
208628,001,AB
203174,001,AB
203663,001,AB
209931,001,AB
209886,001,AB
217511,001,AB
205770,001,AB
204516,001,AB
077226,001,AB
078899,001,AB
207313,001,AA
213115,001,AA
204733,001,AA
210817,001,AA
089007,001,AA
213321,001,AA
212082,001,AA
212083,001,AA
040885,001,AA
215047,001,AA
207118,001,AA
214288,001,AA
216376,001,AA
214087,001,AA
214087,002,AA
213046,001,AA
215138,002,AB
215138,001,AB
076560,002,AB
076560,001,AB
204649,001,AB
078149,001,AA
075231,001,AB
074951,001,AB
203289,002,AB
203289,001,AB
091174,001,AB
091174,002,AB
076917,001,AB
091356,001,AB
091356,002,AB
075765,001,AB
075765,002,AB
091312,001,AB
202315,001,AB
077728,001,AB
203135,001,AB
202127,001,AB
203179,001,AB
217205,001,AB
211038,001,AB
065352,001,AB
065392,001,AB
065282,001,AB
210220,001,AB
065418,001,AB
065434,001,AB
065330,001,AB
065264,001,AB
065368,001,AB
210574,001,AB
020998,004,AB
020998,001,AB
020998,002,AB
020998,003,AB
204519,001,AB
204519,002,AB
204519,003,AB
204519,004,AB
204197,001,AB
204197,002,AB
204197,003,AB
206827,001,AB
206827,002,AB
206827,003,AB
206827,004,AB
208701,001,AB
208701,002,AB
208701,003,AB
208701,004,AB
207446,001,AB
207446,002,AB
207446,003,AB
207446,004,AB
210071,001,AB
210071,002,AB
210071,003,AB
202240,001,AB
202240,002,AB
202240,003,AB
202240,004,AB
204590,001,AB
204590,002,AB
204590,003,AB
204590,004,AB
204776,001,AB
204776,002,AB
204776,003,AB
204776,004,AB
213598,001,AB
208856,001,AB
208856,002,AB
208856,003,AB
208856,004,AB
205129,001,AB
205129,002,AB
205129,003,AB
205129,004,AB
076898,001,AB
076898,002,AB
076898,003,AB
076898,004,AB
207872,001,AB
207872,002,AB
207872,003,AB
207872,004,AB
207677,001,AB
207677,002,AB
207677,003,AB
207677,004,AB
210628,001,AB
210628,002,AB
210628,003,AB
210628,004,AB
200562,001,AB
200562,002,AB
200562,003,AB
200562,004,AB
211412,001,AB
211412,002,AB
211412,003,AB
211412,004,AB
205938,001,AB
205938,002,AB
205938,003,AB
205938,004,AB
050722,001,AB
010596,008,AB
062713,001,AB
062713,002,AB
090836,001,AB
090836,002,AB
090836,004,AB
065248,001,AB
065248,002,AB
065253,001,AB
065253,002,AB
065253,003,AB
065152,001,AB
065152,002,AB
065229,001,AB
065229,002,AB
062702,001,AB
062702,002,AB
205494,001,AB
215056,001,AB
218290,001,AB
091591,001,AB
206808,001,AB
204746,001,AB
203775,001,AB
216682,001,AB
084768,001,AB
083116,001,AB
084769,001,AB
084678,001,AB
084041,001,AB
084679,002,AB
216969,001,AB
214065,001,AB
215555,001,AB
216419,001,AB
213530,001,AB
215453,001,AB
214698,001,AB
215835,001,AB
210579,001,AB
211421,001,AB
212344,001,AB
076356,001,AB1
076135,002,AB1
076135,003,AB1
076135,001,AB1
050162,001,AB
050162,002,AB
050162,003,AB
065442,001,AB
065442,002,AB
065243,002,AB
065194,001,AB
065194,002,AB
216957,001,AB
216957,002,AB
216957,003,AB
207402,001,AB
207402,002,AB
207402,003,AB
065061,001,AB
065061,002,AB
065217,001,AB
065217,002,AB
065217,003,AB
211822,001,AB
211822,002,AB
211822,003,AB
216440,001,AB
216440,002,AB
216440,003,AB
074364,001,AB
074364,002,AB
074364,003,AB
212218,001,AB
212218,002,AB
212218,003,AB
211364,001,AB
211364,002,AB
211364,003,AB
209294,001,AB
209294,002,AB
209294,003,AB
211767,001,AB
211767,002,AB
211767,003,AB
213219,001,AB
213219,002,AB
213219,003,AB
074953,001,AB
074953,002,AB
074953,003,AB
074694,001,AB
074694,002,AB
074694,003,AB
210653,001,AB
210653,002,AB
210653,003,AB
212285,001,AB
212285,002,AB
212285,003,AB
208961,001,AB
208961,002,AB
208961,003,AB
020610,001,AB
217620,001,AB
215463,001,AB
210757,001,AB
208678,001,AB
019853,001,AB
215892,001,AB
215892,002,AB
211608,001,AB
211608,002,AB
203856,001,AB
203856,002,AB
209872,001,AB
209872,002,AB
218282,001,AB
218282,002,AB
211552,001,AB
211552,002,AB
065040,001,AB2
210721,001,AB1
210721,002,AB1
065040,002,AB2
210721,003,AB1
065044,002,AB1
065044,001,AB1
065110,003,AB1
065110,001,AB1
065110,002,AB1
216046,001,AB1
216046,002,AB1
216046,003,AB1
065017,002,AB1
065017,001,AB1
215233,001,AB
215233,003,AB
215233,002,AB
208040,001,AB
208040,003,AB
208040,002,AB
208070,001,AB
208070,002,AB
208070,003,AB
208039,001,AB
208039,002,AB
208039,003,AB
208048,001,AB
208048,002,AB
208048,003,AB
207961,001,AB
207961,003,AB
207961,002,AB
213879,001,AB
213879,003,AB
213879,002,AB
208067,001,AB
208067,002,AB
074582,003,AB
074582,002,AB
074582,001,AB
077246,002,AB
077246,003,AB
077246,001,AB
017443,001,AB
017443,003,AB
017443,002,AB
076686,001,AB
076686,002,AB
076686,003,AB
076856,001,AB
076856,002,AB
076856,003,AB
017871,001,AB
202934,001,AB
218426,001,AB
008708,001,AB
213875,001,AB
204648,001,AB
210078,001,AB
216845,001,AB
216845,002,AB
062286,001,AB
062286,002,AB
218018,001,AB
040319,001,AB
216639,001,AB
084285,001,AB
217531,001,AB
219242,001,AB
217054,001,AB
085082,001,AB
040204,001,AB
084349,002,AB
070173,001,AB
070173,002,AB
070101,001,AB
070102,001,AB
210740,001,AB
210740,002,AB
210740,003,AB
213338,001,AB
213338,002,AB
213338,003,AB
208625,001,AB
208625,002,AB
208625,003,AB
207058,001,AB
207058,002,AB
207058,003,AB
212750,001,AB
212750,002,AB
212750,003,AB
213220,001,AB
213220,002,AB
213220,003,AB
207746,001,AB
207746,002,AB
207746,003,AB
208519,001,AB
208519,002,AB
208519,003,AB
210466,001,AB
210466,002,AB
210466,003,AB
213474,001,AB
213474,002,AB
213474,003,AB
213474,004,AB
213474,005,AB
212624,001,AB
212624,002,AB
212624,003,AB
212624,004,AB
212624,005,AB
215076,001,AB
215076,002,AB
215076,003,AB
215076,004,AB
215076,005,AB
207482,001,AB
207482,002,AB
207482,003,AB
207482,004,AB
207482,005,AB
214908,001,AB
214908,002,AB
214908,003,AB
214908,004,AB
214908,005,AB
211603,001,AB
211603,002,AB
211603,003,AB
211603,004,AB
211603,005,AB
210268,001,AB
210268,002,AB
210268,003,AB
210268,004,AB
210268,005,AB
210675,001,AB
210675,002,AB
210675,004,AB
210675,005,AB
210675,003,AB
215483,001,AB
215483,002,AB
215483,003,AB
215483,004,AB
215483,005,AB
211619,001,AB
211619,002,AB
211619,003,AB
211619,004,AB
211619,005,AB
215710,001,AB
215710,002,AB
215710,003,AB
215710,004,AB
215710,005,AB
217688,001,AB
217688,002,AB
217688,003,AB
217688,004,AB
217688,005,AB
215113,001,AB
215113,002,AB
215113,003,AB
215113,004,AB
215113,005,AB
070791,002,AB
070791,003,AB
070791,001,AB
070791,004,AB
070791,005,AB
071422,006,AB
217975,001,AB
217975,002,AB
217975,003,AB
217975,004,AB
217975,005,AB
213063,001,AB
213063,002,AB
213063,003,AB
213063,004,AB
213063,005,AB
211618,001,AB
210700,001,BX
210700,002,BX
210700,003,BX
210700,004,BX
210700,005,BX
210140,001,BX
205360,001,AB
205360,002,AB
205360,003,AB
201518,001,AB
201518,002,AB
201518,003,AB
217674,001,AB
209165,001,AB
209165,002,AB
217170,001,AB
218034,001,AB
209396,001,AB
209396,002,AB
209396,003,AB
216631,001,AB
204234,001,AB
204234,002,AB
204234,003,AB
210381,001,AB
217098,001,AB
065055,001,AB
065055,002,AB
065055,003,AB
065053,001,AB
065053,003,AB
065053,002,AB
205115,001,AB
205115,002,AB
205115,003,AB
062031,002,AB
062031,001,AB
210527,001,AB
210527,002,AB
207289,001,AB
209402,001,AB
062500,001,AB
062500,002,AB
062396,002,AB
062396,001,AB
062337,001,AB
062337,002,AB
062676,002,AB
062676,001,AB
207774,001,AB
207774,002,AB
003444,001,AA
207421,001,AB
207421,002,AB
207421,003,AB
215265,001,AB
215265,002,AB
215265,003,AB
213911,001,AB
213911,002,AB
213911,003,AB
211726,002,AB
211726,003,AB
211726,001,AB
214387,001,AB
214387,002,AB
214387,003,AB
213033,001,AB
213033,002,AB
213033,003,AB
214391,001,AB
214391,002,AB
214391,003,AB
211652,001,AB
211652,002,AB
211652,003,AB
211741,001,AB
211741,002,AB
211741,003,AB
214017,001,AB
214017,002,AB
214017,003,AB
214543,001,AB
214543,002,AB
214543,003,AB
214384,001,AB
214384,002,AB
214384,003,AB
211818,001,AB
211818,002,AB
211818,003,AB
206373,001,AB
204376,001,AB
203118,001,AB
206574,001,AB
202660,001,AB
090095,001,AB
200899,001,AB
209909,001,AB
204262,001,AB
204373,001,AB
213300,001,AB
202509,001,AB
207769,001,AB
013174,001,AB
013174,002,AB
212463,001,AB
212369,001,AB
212420,001,AB
021549,001,AB
021549,002,AB
079188,001,AB
091168,001,AB
021500,001,AB
040833,001,AA
090455,001,AA
204276,001,AA
022535,001,AB
040430,001,AB
040686,001,AB
200892,001,AB
211928,001,AB
210654,001,AB
075126,001,AB
075126,002,AB
075419,001,AB
075419,002,AB
205448,001,AB
205448,002,AB
075078,001,AB
075078,002,AB
020989,002,AB
040765,001,AB
040684,001,AB
018147,002,AB
018147,003,AB
201748,001,AB
201748,002,AB
210705,001,AB
210705,002,AB
210705,003,AB
213842,001,AB
213842,002,AB
213842,003,AB
209504,001,AB
209504,002,AB
