ApplNo,ProductNo,TradeName,ActiveIngredient,Strength,DosageForm,Route,ReferenceListedDrugFlag,ReferenceStandardFlag,MarketingStatus,TECode,RxCUI_Ingredient,RxCUI_Product,LastUpdateDate
018887,001,INTAL,CROMOLYN SODIUM,0.8MG/INH,"AEROSOL, METERED",INHALATION,N,N,DISCN,,,,
087858,001,ISOETHARINE MESYLATE,ISOETHARINE MESYLATE,0.34MG/INH,"AEROSOL, METERED",INHALATION,N,N,DISCN,,,,
010375,004,ISOPROTERENOL HYDROCHLORIDE,ISOPROTERENOL HYDROCHLORIDE,0.12MG/INH,"AEROSOL, METERED",INHALATION,N,N,DISCN,,,,
085904,001,ISOPROTERENOL HYDROCHLORIDE,ISOPROTERENOL HYDROCHLORIDE,0.12MG/INH,"AEROSOL, METERED",INHALATION,N,N,DISCN,,,,
011178,001,ISUPREL,ISOPROTERENOL HYDROCHLORIDE,0.103MG/INH,"AEROSOL, METERED",INHALATION,N,N,DISCN,,,,
019009,001,MAXAIR,PIRBUTEROL ACETATE,EQ 0.2MG BASE/INH,"AEROSOL, METERED",INHALATION,N,N,DISCN,,,,
020014,001,MAXAIR,PIRBUTEROL ACETATE,EQ 0.2MG BASE/INH,"AEROSOL, METERED",INHALATION,N,N,DISCN,,,,
012102,001,MEDIHALER ERGOTAMINE,ERGOTAMINE TARTRATE,0.36MG/INH,"AEROSOL, METERED",INHALATION,N,N,DISCN,,,,
010374,003,MEDIHALER-EPI,EPINEPHRINE BITARTRATE,0.3MG/INH,"AEROSOL, METERED",INHALATION,N,N,DISCN,,,,
010375,003,MEDIHALER-ISO,ISOPROTERENOL SULFATE,0.08MG/INH,"AEROSOL, METERED",INHALATION,N,N,DISCN,,,,
205920,001,PRIMATENE MIST,EPINEPHRINE,0.125MG/INH,"AEROSOL, METERED",INHALATION,Y,Y,OTC,,,,
016126,001,PRIMATENE MIST,EPINEPHRINE,0.2MG/INH,"AEROSOL, METERED",INHALATION,N,N,DISCN,,,,
021457,001,PROAIR HFA,ALBUTEROL SULFATE,EQ 0.09MG BASE/INH,"AEROSOL, METERED",INHALATION,Y,Y,RX,AB2,,,
017559,001,PROVENTIL,ALBUTEROL,0.09MG/INH,"AEROSOL, METERED",INHALATION,N,N,DISCN,,,,
020503,001,PROVENTIL-HFA,ALBUTEROL SULFATE,EQ 0.09MG BASE/INH,"AEROSOL, METERED",INHALATION,Y,Y,RX,AB1,,,
020911,002,QVAR 40,BECLOMETHASONE DIPROPIONATE,0.04MG/INH **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,"AEROSOL, METERED",INHALATION,Y,N,DISCN,,,,
020911,001,QVAR 80,BECLOMETHASONE DIPROPIONATE,0.08MG/INH **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,"AEROSOL, METERED",INHALATION,Y,N,DISCN,,,,
