ProductRxCUI,IngredientRxCUI,RxTTY,PreferredName,BrandName,GenericName,DosageForm,Route,Strength
1243439,161,SBD,8 HR acetaminophen 650 MG Extended Release Oral Tablet [Mapap],Mapap,acetaminophen,Extended Release Oral Tablet,,650 MG
1243440,161,SBD,8 HR acetaminophen 650 MG Extended Release Oral Tablet [Tylenol],Tylenol,acetaminophen,Extended Release Oral Tablet,,650 MG
1293942,161,SBD,acetaminophen 500 MG Oral Tablet [Pharbetol],Pharbetol,acetaminophen,Oral Tablet,,500 MG
1298830,161,SBD,acetaminophen 325 MG Oral Tablet [Pharbetol],Pharbetol,acetaminophen,Oral Tablet,,325 MG
1301882,161,SBD,acetaminophen 32 MG/ML Oral Suspension [Little Fevers],Little Fevers,acetaminophen,Oral Suspension,,32 MG
1303159,161,SBD,acetaminophen 250 MG / aspirin 250 MG / caffeine 65 MG Oral Tablet [Arthriten Inflammatory Pain],Arthriten Inflammatory Pain,acetaminophen; aspirin; caffeine,Oral Tablet,,250 MG
1356080,161,SBD,acetaminophen 500 MG / pamabrom 25 MG Oral Tablet [Backaid],Backaid,acetaminophen; pamabrom,Oral Tablet,,500 MG
1358835,161,SBD,acetaminophen 500 MG Oral Tablet [Cetafen],Cetafen,acetaminophen,Oral Tablet,,500 MG
1358837,161,SBD,acetaminophen 325 MG Oral Tablet [Cetafen],Cetafen,acetaminophen,Oral Tablet,,325 MG
1358853,161,SBD,acetaminophen 110 MG / aspirin 162 MG / caffeine 32.4 MG / salicylamide 152 MG Oral Tablet [Exaprin],Exaprin,acetaminophen; aspirin; caffeine; salicylamide,Oral Tablet,,110 MG
1361402,161,SBD,acetaminophen 250 MG / aspirin 250 MG / caffeine 65 MG Oral Tablet [Backaid IPF],Backaid IPF,acetaminophen; aspirin; caffeine,Oral Tablet,,250 MG
1428622,161,SBD,acetaminophen 300 MG / butalbital 50 MG Oral Tablet [Bupap],Bupap,acetaminophen; butalbital,Oral Tablet,,300 MG
1432261,161,SBD,acetaminophen 300 MG / butalbital 50 MG / caffeine 40 MG Oral Capsule [Fioricet],Fioricet,acetaminophen; butalbital; caffeine,Oral Capsule,,300 MG
1433802,161,SBD,acetaminophen 300 MG / butalbital 50 MG / caffeine 40 MG / codeine phosphate 30 MG Oral Capsule [Fioricet with Codeine],Fioricet with Codeine,acetaminophen; butalbital; caffeine; codeine; codeine phosphate,Oral Capsule,,300 MG
1442445,161,SBD,acetaminophen 20 MG/ML / hydrocodone bitartrate 0.667 MG/ML Oral Solution [Lortab],Lortab,acetaminophen; hydrocodone; hydrocodone bitartrate,Oral Solution,,20 MG
1483329,161,SBD,acetaminophen 325 MG / butalbital 50 MG Oral Tablet [Tencon],Tencon,acetaminophen; butalbital,Oral Tablet,,325 MG
1487251,161,SBD,acetaminophen 325 MG / butalbital 50 MG / caffeine 40 MG Oral Capsule [Zebutal],Zebutal,acetaminophen; butalbital; caffeine,Oral Capsule,,325 MG
1487288,161,SBD,acetaminophen 325 MG / oxycodone hydrochloride 2.5 MG Oral Tablet [Endocet],Endocet,acetaminophen; oxycodone; oxycodone hydrochloride,Oral Tablet,,325 MG
1492673,161,SBD,acetaminophen 325 MG / hydrocodone bitartrate 5 MG Oral Tablet [Lorcet],Lorcet,acetaminophen; hydrocodone; hydrocodone bitartrate,Oral Tablet,,325 MG
1495472,161,SBD,acetaminophen 325 MG / hydrocodone bitartrate 10 MG Oral Tablet [Lortab],Lortab,acetaminophen; hydrocodone; hydrocodone bitartrate,Oral Tablet,,325 MG
1495474,161,SBD,acetaminophen 325 MG / hydrocodone bitartrate 5 MG Oral Tablet [Lortab],Lortab,acetaminophen; hydrocodone; hydrocodone bitartrate,Oral Tablet,,325 MG
1495476,161,SBD,acetaminophen 325 MG / hydrocodone bitartrate 7.5 MG Oral Tablet [Lortab],Lortab,acetaminophen; hydrocodone; hydrocodone bitartrate,Oral Tablet,,325 MG
1537116,161,SBD,acetaminophen 300 MG / oxycodone hydrochloride 5 MG Oral Tablet [Primlev],Primlev,acetaminophen; oxycodone; oxycodone hydrochloride,Oral Tablet,,300 MG
1537120,161,SBD,acetaminophen 300 MG / oxycodone hydrochloride 10 MG Oral Tablet [Primlev],Primlev,acetaminophen; oxycodone; oxycodone hydrochloride,Oral Tablet,,300 MG
1537122,161,SBD,acetaminophen 300 MG / oxycodone hydrochloride 7.5 MG Oral Tablet [Primlev],Primlev,acetaminophen; oxycodone; oxycodone hydrochloride,Oral Tablet,,300 MG
1542981,161,SBD,acetaminophen 325 MG / hydrocodone bitartrate 2.5 MG Oral Tablet [Verdrocet],Verdrocet,acetaminophen; hydrocodone; hydrocodone bitartrate,Oral Tablet,,325 MG
1591934,161,SBD,acetaminophen 325 MG / caffeine 65 MG Oral Tablet [Excedrin Mild Headache],Excedrin Mild Headache,acetaminophen; caffeine,Oral Tablet,,325 MG
1593116,161,SBD,acetaminophen 250 MG / aspirin 250 MG / diphenhydramine citrate 38 MG Oral Tablet [Excedrin PM Triple Action],Excedrin PM Triple Action,acetaminophen; aspirin; diphenhydramine; diphenhydramine citrate,Oral Tablet,,250 MG
1593771,161,SBD,acetaminophen 32 MG/ML / chlophedianol hydrochloride 2.5 MG/ML / pyrilamine maleate 2.5 MG/ML Oral Solution [Ninjacof A],Ninjacof A,acetaminophen; chlophedianol; chlophedianol hydrochloride; pyrilamine; pyrilamine maleate,Oral Solution,,32 MG
1602570,161,SBD,acetaminophen 500 MG / phenyltoloxamine citrate 29 MG Oral Tablet [Relagesic],Relagesic,acetaminophen; phenyltoloxamine; phenyltoloxamine citrate,Oral Tablet,,500 MG
1648584,161,SBD,acetaminophen 21.7 MG/ML / butalbital 3.33 MG/ML / caffeine 2.67 MG/ML Oral Solution [Vanatol],Vanatol,acetaminophen; butalbital; caffeine,Oral Solution,,21.7 MG
1738139,161,SBD,acetaminophen 325 MG Oral Capsule [Tylenol],Tylenol,acetaminophen,Oral Capsule,,325 MG
1866143,161,SBD,acetaminophen 500 MG / caffeine 65 MG Oral Tablet [Sed-Max],Sed-Max,acetaminophen; caffeine,Oral Tablet,,500 MG
1872075,161,SBD,acetaminophen 500 MG / caffeine 65 MG Oral Tablet [Panadol Extra],Panadol Extra,acetaminophen; caffeine,Oral Tablet,,500 MG
1944113,161,SBD,acetaminophen 250 MG / aspirin 250 MG / caffeine 65 MG Oral Tablet [Arthriten Max],Arthriten Max,acetaminophen; aspirin; caffeine,Oral Tablet,,250 MG
2001364,161,SBD,acetaminophen 325 MG / benzhydrocodone 6.12 MG Oral Tablet [Apadaz],Apadaz,acetaminophen; benzhydrocodone,Oral Tablet,,325 MG
200977,161,SBD,acetaminophen 500 MG Oral Tablet [Panadol],Panadol,acetaminophen,Oral Tablet,,500 MG
2045500,161,SBD,acetaminophen 300 MG / oxycodone hydrochloride 2.5 MG Oral Tablet [Nalocet],Nalocet,acetaminophen; oxycodone; oxycodone hydrochloride,Oral Tablet,,300 MG
209352,161,SBD,acetaminophen 120 MG Rectal Suppository [Acephen],Acephen,acetaminophen,Rectal Suppository,,120 MG
209353,161,SBD,acetaminophen 120 MG Rectal Suppository [Feverall],Feverall,acetaminophen,Rectal Suppository,,120 MG
209360,161,SBD,acetaminophen 325 MG Rectal Suppository [Acephen],Acephen,acetaminophen,Rectal Suppository,,325 MG
209361,161,SBD,acetaminophen 325 MG Rectal Suppository [Feverall],Feverall,acetaminophen,Rectal Suppository,,325 MG
209363,161,SBD,acetaminophen 650 MG Rectal Suppository [Acephen],Acephen,acetaminophen,Rectal Suppository,,650 MG
209364,161,SBD,acetaminophen 650 MG Rectal Suppository [Feverall],Feverall,acetaminophen,Rectal Suppository,,650 MG
209375,161,SBD,acetaminophen 325 MG Oral Tablet [Mapap],Mapap,acetaminophen,Oral Tablet,,325 MG
209384,161,SBD,acetaminophen 325 MG Oral Tablet [Tycolene],Tycolene,acetaminophen,Oral Tablet,,325 MG
209387,161,SBD,acetaminophen 325 MG Oral Tablet [Tylenol],Tylenol,acetaminophen,Oral Tablet,,325 MG
209397,161,SBD,acetaminophen 32 MG/ML Oral Solution [Mapap],Mapap,acetaminophen,Oral Solution,,32 MG
209417,161,SBD,acetaminophen 33.3 MG/ML Oral Solution [Mapap],Mapap,acetaminophen,Oral Solution,,33.3 MG
209425,161,SBD,acetaminophen 33.3 MG/ML Oral Solution [Redutemp],Redutemp,acetaminophen,Oral Solution,,33.3 MG
209433,161,SBD,acetaminophen 500 MG Oral Tablet [Anacin AF],Anacin AF,acetaminophen,Oral Tablet,,500 MG
209443,161,SBD,acetaminophen 500 MG Oral Tablet [Mapap],Mapap,acetaminophen,Oral Tablet,,500 MG
209459,161,SBD,acetaminophen 500 MG Oral Tablet [Tylenol],Tylenol,acetaminophen,Oral Tablet,,500 MG
209468,161,SBD,acetaminophen 250 MG / aspirin 250 MG / caffeine 65 MG Oral Tablet [Excedrin],Excedrin,acetaminophen; aspirin; caffeine,Oral Tablet,,250 MG
209495,161,SBD,acetaminophen 80 MG Chewable Tablet [Mapap],Mapap,acetaminophen,Chewable Tablet,,80 MG
209501,161,SBD,acetaminophen 80 MG Chewable Tablet [Tempra Quicklets],Tempra Quicklets,acetaminophen,Chewable Tablet,,80 MG
209531,161,SBD,acetaminophen 80 MG Rectal Suppository [Feverall],Feverall,acetaminophen,Rectal Suppository,,80 MG
209826,161,SBD,acetaminophen 325 MG / butalbital 50 MG Oral Tablet [Marten-Tab],Marten-Tab,acetaminophen; butalbital,Oral Tablet,,325 MG
209870,161,SBD,acetaminophen 160 MG Chewable Tablet [Mapap],Mapap,acetaminophen,Chewable Tablet,,160 MG
209873,161,SBD,acetaminophen 160 MG Chewable Tablet [Tempra Quicklets],Tempra Quicklets,acetaminophen,Chewable Tablet,,160 MG
209890,161,SBD,acetaminophen 500 MG Oral Capsule [Mapap],Mapap,acetaminophen,Oral Capsule,,500 MG
2105929,161,SBD,acetaminophen 325 MG / caffeine 30 MG / dihydrocodeine bitartrate 16 MG Oral Tablet [Dvorah],Dvorah,acetaminophen; caffeine; dihydrocodeine; dihydrocodeine bitartrate,Oral Tablet,,325 MG
210864,161,SBD,acetaminophen 115 MG / aspirin 210 MG / caffeine 16 MG / salicylamide 65 MG Oral Tablet [Saleto],Saleto,acetaminophen; aspirin; caffeine; salicylamide,Oral Tablet,,115 MG
211161,161,SBD,acetaminophen 325 MG / butalbital 50 MG / caffeine 40 MG Oral Capsule [Esgic],Esgic,acetaminophen; butalbital; caffeine,Oral Capsule,,325 MG
211189,161,SBD,acetaminophen 325 MG / butalbital 50 MG / caffeine 40 MG Oral Tablet [Esgic],Esgic,acetaminophen; butalbital; caffeine,Oral Tablet,,325 MG
211194,161,SBD,acetaminophen 325 MG / butalbital 50 MG / caffeine 40 MG Oral Tablet [Repan],Repan,acetaminophen; butalbital; caffeine,Oral Tablet,,325 MG
2118730,161,SBD,acetaminophen 325 MG / benzhydrocodone 4.08 MG Oral Tablet [Apadaz],Apadaz,acetaminophen; benzhydrocodone,Oral Tablet,,325 MG
2118734,161,SBD,acetaminophen 325 MG / benzhydrocodone 8.16 MG Oral Tablet [Apadaz],Apadaz,acetaminophen; benzhydrocodone,Oral Tablet,,325 MG
2178758,161,SBD,acetaminophen 160 MG Oral Powder [Tylenol],Tylenol,acetaminophen,Oral Powder,,160 MG
2261403,161,SBD,acetaminophen 21.7 MG/ML / butalbital 3.33 MG/ML / caffeine 2.67 MG/ML Oral Solution [Vtol],Vtol,acetaminophen; butalbital; caffeine,Oral Solution,,21.7 MG
2279007,161,SBD,acetaminophen 325 MG / butalbital 25 MG Oral Tablet [Allzital],Allzital,acetaminophen; butalbital,Oral Tablet,,325 MG
2279510,161,SBD,acetaminophen 300 MG / oxycodone hydrochloride 10 MG Oral Tablet [Prolate],Prolate,acetaminophen; oxycodone; oxycodone hydrochloride,Oral Tablet,,300 MG
2279512,161,SBD,acetaminophen 300 MG / oxycodone hydrochloride 5 MG Oral Tablet [Prolate],Prolate,acetaminophen; oxycodone; oxycodone hydrochloride,Oral Tablet,,300 MG
2279514,161,SBD,acetaminophen 300 MG / oxycodone hydrochloride 7.5 MG Oral Tablet [Prolate],Prolate,acetaminophen; oxycodone; oxycodone hydrochloride,Oral Tablet,,300 MG
2281851,161,SBD,acetaminophen 60 MG/ML / oxycodone hydrochloride 2 MG/ML Oral Solution [Prolate],Prolate,acetaminophen; oxycodone; oxycodone hydrochloride,Oral Solution,,60 MG
2374361,161,SBD,acetaminophen 500 MG Oral Powder [Tylenol],Tylenol,acetaminophen,Oral Powder,,500 MG
2391568,161,SBD,acetaminophen 500 MG / phenyltoloxamine citrate 30 MG Oral Tablet [Dologesic],Dologesic,acetaminophen; phenyltoloxamine; phenyltoloxamine citrate,Oral Tablet,,500 MG
2391610,161,SBD,acetaminophen 325 MG / phenyltoloxamine citrate 30 MG Oral Tablet [Contragesic],Contragesic,acetaminophen; phenyltoloxamine; phenyltoloxamine citrate,Oral Tablet,,325 MG
2639351,161,SBD,acetaminophen 32 MG/ML Oral Suspension [Feverall],Feverall,acetaminophen,Oral Suspension,,32 MG
2673880,161,SBD,100 ML acetaminophen 10 MG/ML / ibuprofen 3 MG/ML Injection [Combogesic],Combogesic,acetaminophen; ibuprofen,Injection,,100 ML
2675765,161,SBD,acetaminophen 325 MG / ibuprofen 97.5 MG Oral Tablet [Combogesic],Combogesic,acetaminophen; ibuprofen,Oral Tablet,,325 MG
404172,161,SBD,acetaminophen 500 MG / caffeine 65 MG Oral Tablet [Excedrin Tension Headache],Excedrin Tension Headache,acetaminophen; caffeine,Oral Tablet,,500 MG
540434,161,SBD,acetaminophen 250 MG / salicylamide 600 MG Oral Tablet [Frenadol],Frenadol,acetaminophen; salicylamide,Oral Tablet,,250 MG
702615,161,SBD,acetaminophen 500 MG / caffeine 65 MG Disintegrating Oral Tablet [Excedrin Quick Tab],Excedrin Quick Tab,acetaminophen; caffeine,Disintegrating Oral Tablet,,500 MG
707322,161,SBD,acetaminophen 33.3 MG/ML Oral Solution [Comtrex Sore Throat Relief],Comtrex Sore Throat Relief,acetaminophen,Oral Solution,,33.3 MG
723530,161,SBD,acetaminophen 250 MG / aspirin 250 MG Oral Tablet [Excedrin Back & Body],Excedrin Back & Body,acetaminophen; aspirin,Oral Tablet,,250 MG
723533,161,SBD,acetaminophen 250 MG / aspirin 250 MG / caffeine 65 MG Oral Tablet [Anacin Advanced Headache Formula],Anacin Advanced Headache Formula,acetaminophen; aspirin; caffeine,Oral Tablet,,250 MG
798926,161,SBD,acetaminophen 325 MG Oral Tablet [Tactinal],Tactinal,acetaminophen,Oral Tablet,,325 MG
828555,161,SBD,acetaminophen 32 MG/ML Oral Suspension [Tylenol],Tylenol,acetaminophen,Oral Suspension,,32 MG
828557,161,SBD,acetaminophen 160 MG Chewable Tablet [Tylenol],Tylenol,acetaminophen,Chewable Tablet,,160 MG
836397,161,SBD,acetaminophen 325 MG / tramadol hydrochloride 37.5 MG Oral Tablet [Ultracet],Ultracet,acetaminophen; tramadol; tramadol hydrochloride,Oral Tablet,,325 MG
856942,161,SBD,acetaminophen 21.7 MG/ML / hydrocodone bitartrate 0.5 MG/ML Oral Solution [Hycet],Hycet,acetaminophen; hydrocodone; hydrocodone bitartrate,Oral Solution,,21.7 MG
856946,161,SBD,acetaminophen 21.7 MG/ML / hydrocodone bitartrate 0.67 MG/ML Oral Solution [Zamicet],Zamicet,acetaminophen; hydrocodone; hydrocodone bitartrate,Oral Solution,,21.7 MG
857001,161,SBD,acetaminophen 325 MG / hydrocodone bitartrate 10 MG Oral Tablet [Norco],Norco,acetaminophen; hydrocodone; hydrocodone bitartrate,Oral Tablet,,325 MG
857004,161,SBD,acetaminophen 325 MG / hydrocodone bitartrate 5 MG Oral Tablet [Norco],Norco,acetaminophen; hydrocodone; hydrocodone bitartrate,Oral Tablet,,325 MG
857007,161,SBD,acetaminophen 325 MG / hydrocodone bitartrate 7.5 MG Oral Tablet [Norco],Norco,acetaminophen; hydrocodone; hydrocodone bitartrate,Oral Tablet,,325 MG
884770,161,SBD,acetaminophen 250 MG / caffeine 50 MG / magnesium salicylate 290 MG Oral Tablet [Backprin],Backprin,acetaminophen; caffeine; magnesium salicylate,Oral Tablet,,250 MG
993837,161,SBD,acetaminophen 300 MG / codeine phosphate 30 MG Oral Tablet [Tylenol with Codeine],Tylenol with Codeine,acetaminophen; codeine; codeine phosphate,Oral Tablet,,300 MG
993892,161,SBD,acetaminophen 300 MG / codeine phosphate 60 MG Oral Tablet [Tylenol with Codeine],Tylenol with Codeine,acetaminophen; codeine; codeine phosphate,Oral Tablet,,300 MG
998706,161,SBD,acetaminophen 300 MG / phenyltoloxamine citrate 20 MG / salicylamide 200 MG Oral Capsule [Ed Flex],Ed Flex,acetaminophen; phenyltoloxamine; phenyltoloxamine citrate; salicylamide,Oral Capsule,,300 MG
1014599,161,SCD,acetaminophen 300 MG / oxycodone hydrochloride 10 MG Oral Tablet,,acetaminophen 300 MG / oxycodone hydrochloride 10 MG Oral Tablet,Oral Tablet,,300 MG
1014615,161,SCD,acetaminophen 300 MG / oxycodone hydrochloride 5 MG Oral Tablet,,acetaminophen 300 MG / oxycodone hydrochloride 5 MG Oral Tablet,Oral Tablet,,300 MG
1014632,161,SCD,acetaminophen 300 MG / oxycodone hydrochloride 7.5 MG Oral Tablet,,acetaminophen 300 MG / oxycodone hydrochloride 7.5 MG Oral Tablet,Oral Tablet,,300 MG
1037259,161,SCD,acetaminophen 300 MG / oxycodone hydrochloride 2.5 MG Oral Tablet,,acetaminophen 300 MG / oxycodone hydrochloride 2.5 MG Oral Tablet,Oral Tablet,,300 MG
1037273,161,SCD,acetaminophen 300 MG / phenyltoloxamine citrate 20 MG / salicylamide 200 MG Oral Tablet,,acetaminophen 300 MG / phenyltoloxamine citrate 20 MG / salicylamide 200 MG Oral Tablet,Oral Tablet,,300 MG
1042675,161,SCD,acetaminophen 21.7 MG/ML / dextromethorphan hydrobromide 0.667 MG/ML / doxylamine succinate 0.417 MG/ML Oral Solution,,acetaminophen 21.7 MG/ML / dextromethorphan hydrobromide 0.667 MG/ML / doxylamine succinate 0.417 MG/ML Oral Solution,Oral Solution,,21.7 MG
1042684,161,SCD,acetaminophen 33.3 MG/ML / dextromethorphan hydrobromide 1 MG/ML / doxylamine succinate 0.417 MG/ML Oral Solution,,acetaminophen 33.3 MG/ML / dextromethorphan hydrobromide 1 MG/ML / doxylamine succinate 0.417 MG/ML Oral Solution,Oral Solution,,33.3 MG
1042688,161,SCD,acetaminophen 325 MG / chlorpheniramine maleate 2 MG / dextromethorphan hydrobromide 10 MG / phenylephrine hydrochloride 5 MG Oral Capsule,,acetaminophen 325 MG / chlorpheniramine maleate 2 MG / dextromethorphan hydrobromide 10 MG / phenylephrine hydrochloride 5 MG Oral Capsule,Oral Capsule,,325 MG
1042695,161,SCD,acetaminophen 21.7 MG/ML / dextromethorphan hydrobromide 0.667 MG/ML / guaifenesin 13.3 MG/ML Oral Solution,,acetaminophen 21.7 MG/ML / dextromethorphan hydrobromide 0.667 MG/ML / guaifenesin 13.3 MG/ML Oral Solution,Oral Solution,,21.7 MG
1043400,161,SCD,acetaminophen 21.7 MG/ML / dextromethorphan hydrobromide 1 MG/ML / doxylamine succinate 0.417 MG/ML Oral Solution,,acetaminophen 21.7 MG/ML / dextromethorphan hydrobromide 1 MG/ML / doxylamine succinate 0.417 MG/ML Oral Solution,Oral Solution,,21.7 MG
1044427,161,SCD,acetaminophen 20 MG/ML / hydrocodone bitartrate 0.667 MG/ML Oral Solution,,acetaminophen 20 MG/ML / hydrocodone bitartrate 0.667 MG/ML Oral Solution,Oral Solution,,20 MG
1046378,161,SCD,acetaminophen 325 MG / phenylephrine hydrochloride 5 MG Oral Tablet,,acetaminophen 325 MG / phenylephrine hydrochloride 5 MG Oral Tablet,Oral Tablet,,325 MG
1046384,161,SCD,acetaminophen 21.7 MG/ML / chlorpheniramine maleate 0.133 MG/ML / dextromethorphan hydrobromide 1 MG/ML Oral Solution,,acetaminophen 21.7 MG/ML / chlorpheniramine maleate 0.133 MG/ML / dextromethorphan hydrobromide 1 MG/ML Oral Solution,Oral Solution,,21.7 MG
1046751,161,SCD,acetaminophen 325 MG / diphenhydramine hydrochloride 25 MG / phenylephrine hydrochloride 5 MG Oral Tablet,,acetaminophen 325 MG / diphenhydramine hydrochloride 25 MG / phenylephrine hydrochloride 5 MG Oral Tablet,Oral Tablet,,325 MG
1046781,161,SCD,acetaminophen 325 MG / chlorpheniramine maleate 2 MG / phenylephrine hydrochloride 5 MG Oral Tablet,,acetaminophen 325 MG / chlorpheniramine maleate 2 MG / phenylephrine hydrochloride 5 MG Oral Tablet,Oral Tablet,,325 MG
104906,161,SCD,acetaminophen 24 MG/ML Oral Solution,,acetaminophen 24 MG/ML Oral Solution,Oral Solution,,24 MG
104908,161,SCD,acetaminophen 500 MG / methionine 250 MG Oral Tablet,,acetaminophen 500 MG / methionine 250 MG Oral Tablet,Oral Tablet,,500 MG
1049179,161,SCD,acetaminophen 325 MG / pseudoephedrine hydrochloride 30 MG Oral Tablet,,acetaminophen 325 MG / pseudoephedrine hydrochloride 30 MG Oral Tablet,Oral Tablet,,325 MG
1049214,161,SCD,acetaminophen 325 MG / oxycodone hydrochloride 10 MG Oral Tablet,,acetaminophen 325 MG / oxycodone hydrochloride 10 MG Oral Tablet,Oral Tablet,,325 MG
1049221,161,SCD,acetaminophen 325 MG / oxycodone hydrochloride 5 MG Oral Tablet,,acetaminophen 325 MG / oxycodone hydrochloride 5 MG Oral Tablet,Oral Tablet,,325 MG
1049225,161,SCD,acetaminophen 325 MG / oxycodone hydrochloride 7.5 MG Oral Tablet,,acetaminophen 325 MG / oxycodone hydrochloride 7.5 MG Oral Tablet,Oral Tablet,,325 MG
1049233,161,SCD,acetaminophen 500 MG / oxycodone hydrochloride 7.5 MG Oral Tablet,,acetaminophen 500 MG / oxycodone hydrochloride 7.5 MG Oral Tablet,Oral Tablet,,500 MG
1049251,161,SCD,acetaminophen 400 MG / oxycodone hydrochloride 10 MG Oral Tablet,,acetaminophen 400 MG / oxycodone hydrochloride 10 MG Oral Tablet,Oral Tablet,,400 MG
1049260,161,SCD,acetaminophen 400 MG / oxycodone hydrochloride 5 MG Oral Tablet,,acetaminophen 400 MG / oxycodone hydrochloride 5 MG Oral Tablet,Oral Tablet,,400 MG
1049267,161,SCD,acetaminophen 400 MG / oxycodone hydrochloride 7.5 MG Oral Tablet,,acetaminophen 400 MG / oxycodone hydrochloride 7.5 MG Oral Tablet,Oral Tablet,,400 MG
1049270,161,SCD,acetaminophen 650 MG / oxycodone hydrochloride 10 MG Oral Tablet,,acetaminophen 650 MG / oxycodone hydrochloride 10 MG Oral Tablet,Oral Tablet,,650 MG
1049580,161,SCD,acetaminophen 65 MG/ML / oxycodone hydrochloride 1 MG/ML Oral Solution,,acetaminophen 65 MG/ML / oxycodone hydrochloride 1 MG/ML Oral Solution,Oral Solution,,65 MG
1049635,161,SCD,acetaminophen 325 MG / oxycodone hydrochloride 2.5 MG Oral Tablet,,acetaminophen 325 MG / oxycodone hydrochloride 2.5 MG Oral Tablet,Oral Tablet,,325 MG
1049651,161,SCD,acetaminophen 500 MG / oxycodone hydrochloride 10 MG Oral Tablet,,acetaminophen 500 MG / oxycodone hydrochloride 10 MG Oral Tablet,Oral Tablet,,500 MG
1049658,161,SCD,acetaminophen 500 MG / oxycodone hydrochloride 5 MG Oral Capsule,,acetaminophen 500 MG / oxycodone hydrochloride 5 MG Oral Capsule,Oral Capsule,,500 MG
1050385,161,SCD,acetaminophen 32 MG/ML / diphenhydramine hydrochloride 1.25 MG/ML / phenylephrine hydrochloride 0.5 MG/ML Oral Solution,,acetaminophen 32 MG/ML / diphenhydramine hydrochloride 1.25 MG/ML / phenylephrine hydrochloride 0.5 MG/ML Oral Solution,Oral Solution,,32 MG
1052462,161,SCD,acetaminophen 325 MG / diphenhydramine hydrochloride 12.5 MG Oral Tablet,,acetaminophen 325 MG / diphenhydramine hydrochloride 12.5 MG Oral Tablet,Oral Tablet,,325 MG
1052467,161,SCD,acetaminophen 500 MG / diphenhydramine hydrochloride 12.5 MG Oral Tablet,,acetaminophen 500 MG / diphenhydramine hydrochloride 12.5 MG Oral Tablet,Oral Tablet,,500 MG
1052637,161,SCD,acetaminophen 500 MG / pamabrom 25 MG / pyrilamine maleate 15 MG Oral Tablet,,acetaminophen 500 MG / pamabrom 25 MG / pyrilamine maleate 15 MG Oral Tablet,Oral Tablet,,500 MG
1052647,161,SCD,acetaminophen 325 MG / doxylamine succinate 6.25 MG / phenylephrine hydrochloride 5 MG Oral Capsule,,acetaminophen 325 MG / doxylamine succinate 6.25 MG / phenylephrine hydrochloride 5 MG Oral Capsule,Oral Capsule,,325 MG
1052670,161,SCD,acetaminophen 325 MG / phenylephrine hydrochloride 5 MG Oral Capsule,,acetaminophen 325 MG / phenylephrine hydrochloride 5 MG Oral Capsule,Oral Capsule,,325 MG
1052679,161,SCD,acetaminophen 500 MG / chlorpheniramine maleate 2 MG / phenylephrine hydrochloride 5 MG Oral Tablet,,acetaminophen 500 MG / chlorpheniramine maleate 2 MG / phenylephrine hydrochloride 5 MG Oral Tablet,Oral Tablet,,500 MG
106814,161,SCD,acetaminophen 450 MG / caffeine 30 MG Oral Tablet,,acetaminophen 450 MG / caffeine 30 MG Oral Tablet,Oral Tablet,,450 MG
106815,161,SCD,acetaminophen 450 MG / caffeine 25 MG Oral Tablet,,acetaminophen 450 MG / caffeine 25 MG Oral Tablet,Oral Tablet,,450 MG
106818,161,SCD,acetaminophen 5 MG/ML / caffeine 0.65 MG/ML Oral Solution,,acetaminophen 5 MG/ML / caffeine 0.65 MG/ML Oral Solution,Oral Solution,,5 MG
106821,161,SCD,acetaminophen 150 MG / sodium salicylate 100 MG Oral Tablet,,acetaminophen 150 MG / sodium salicylate 100 MG Oral Tablet,Oral Tablet,,150 MG
1086750,161,SCD,acetaminophen 32 MG/ML / chlorpheniramine maleate 0.2 MG/ML / dextromethorphan hydrobromide 1 MG/ML Oral Suspension,,acetaminophen 32 MG/ML / chlorpheniramine maleate 0.2 MG/ML / dextromethorphan hydrobromide 1 MG/ML Oral Suspension,Oral Suspension,,32 MG
1086991,161,SCD,acetaminophen 325 MG / chlorpheniramine maleate 2 MG / dextromethorphan hydrobromide 10 MG / phenylephrine hydrochloride 5 MG Oral Tablet,,acetaminophen 325 MG / chlorpheniramine maleate 2 MG / dextromethorphan hydrobromide 10 MG / phenylephrine hydrochloride 5 MG Oral Tablet,Oral Tablet,,325 MG
1086997,161,SCD,acetaminophen 325 MG / dextromethorphan hydrobromide 10 MG / phenylephrine hydrochloride 5 MG Oral Capsule,,acetaminophen 325 MG / dextromethorphan hydrobromide 10 MG / phenylephrine hydrochloride 5 MG Oral Capsule,Oral Capsule,,325 MG
1087607,161,SCD,acetaminophen 500 MG / diphenhydramine hydrochloride 50 MG Oral Tablet,,acetaminophen 500 MG / diphenhydramine hydrochloride 50 MG Oral Tablet,Oral Tablet,,500 MG
1088758,161,SCD,acetaminophen 33.3 MG/ML / phenyltoloxamine citrate 2 MG/ML Oral Solution,,acetaminophen 33.3 MG/ML / phenyltoloxamine citrate 2 MG/ML Oral Solution,Oral Solution,,33.3 MG
1089822,161,SCD,acetaminophen 325 MG / dextromethorphan hydrobromide 15 MG / doxylamine succinate 6.25 MG / pseudoephedrine hydrochloride 30 MG Oral Capsule,,acetaminophen 325 MG / dextromethorphan hydrobromide 15 MG / doxylamine succinate 6.25 MG / pseudoephedrine hydrochloride 30 MG Oral Capsule,Oral Capsule,,325 MG
