BLANumber,BiosimilarProprietaryName,BiosimilarProperName,ReferenceProductName,ReferenceProductName,ReferenceBLANumber,InterchangeabilityFlag,LicensureDate,LicensureDate
103676,Atgam,"Lymphocyte Immune Globulin, Anti-thymocyte Globulin (Equine)",<NA>,N/A,,Y,1996-12-04,NaT
103677,Benefix,Coagulation Factor IX (Recombinant),<NA>,N/A,,Y,1997-02-11,NaT
103677,Benefix,Coagulation Factor IX (Recombinant),<NA>,N/A,,Y,2007-03-21,NaT
103677,Benefix,Coagulation Factor IX (Recombinant),<NA>,N/A,,Y,2011-11-23,NaT
103738,T.R.U.E. Test,Thin-Layer Rapid Use Epicutaneous Patch Test,<NA>,N/A,,Y,1997-08-15,NaT
103752,<NA>,"Insects (Whole Body), Mite Dermatophagoides pteronyssinus",<NA>,N/A,,Y,2050-09-29,NaT
103754,Histatrol,Positive Skin Test Control-Histamine,<NA>,N/A,,Y,2050-09-29,NaT
103777,"Micrhogam, Rhogam",Rho(D) Immune Globulin (Human),<NA>,N/A,,Y,1998-04-23,NaT
103779,Refacto,Antihemophilic Factor (Recombinant),<NA>,N/A,,Y,2001-06-27,NaT
103779,Refacto,Antihemophilic Factor (Recombinant),<NA>,N/A,,Y,2001-07-06,NaT
103782,Aplisol,"Tuberculin, Purified Protein Derivative",<NA>,N/A,,Y,1998-04-20,NaT
103788,Crofab,Crotalidae Polyvalent Immune Fab (Ovine),<NA>,N/A,,Y,2000-10-02,NaT
103810,<NA>,"Animal Allergens, Standardized Cat Hair",<NA>,N/A,,Y,2071-12-16,NaT
103820,Biorab,Rabies Vaccine Adsorbed,<NA>,N/A,,Y,1998-11-12,NaT
103821,Biothrax,Anthrax Vaccine Adsorbed,<NA>,N/A,,Y,1998-11-12,NaT
103837,Fluvirin,Influenza Virus Vaccine,<NA>,N/A,,Y,1998-11-03,NaT
103850,Twinrix,Hepatitis A & Hepatitis B (Recombinant) Vaccine,<NA>,N/A,,Y,2001-05-11,NaT
103869,Thymoglobulin,Anti-thymocyte Globulin (Rabbit),<NA>,N/A,,Y,1999-05-19,NaT
103870,<NA>,"Insects (Whole Body), Mite Dermatophagoides farinae",<NA>,N/A,,Y,2024-03-13,NaT
103871,<NA>,"Insects (Whole Body), Mite Dermatophagoides pteronyssinus",<NA>,N/A,,Y,2024-03-13,NaT
103872,<NA>,"Pollens - Grasses, Bermuda Grass Cynodon dactylon",<NA>,N/A,,Y,2024-03-13,NaT
103873,<NA>,"Pollens - Grasses, Bluegrass, Kentucky (June) Poa pratensis",<NA>,N/A,,Y,2024-03-13,NaT
103874,<NA>,"Pollens - Grasses, Fescue, Meadow Festuca elatior",<NA>,N/A,,Y,2024-03-13,NaT
103875,<NA>,"Pollens - Grasses, Orchard Grass Dactylis glomerata",<NA>,N/A,,Y,2024-03-13,NaT
103876,<NA>,"Pollens - Grasses, Redtop Agrostis alba",<NA>,N/A,,Y,2024-03-13,NaT
103877,<NA>,"Pollens - Grasses, Ryegrass, Perennial Lolium perenne",<NA>,N/A,,Y,2024-03-13,NaT
103878,<NA>,"Pollens - Grasses, Sweet Vernal Grass Anthoxanthum odoratum",<NA>,N/A,,Y,2024-03-13,NaT
103879,<NA>,"Pollens - Grasses, Timothy Phleum pratense",<NA>,N/A,,Y,2024-03-13,NaT
103880,<NA>,"Pollens - Weeds and Garden Plants, Ragweed, Short Ambrosia artemisiifolia",<NA>,N/A,,Y,2024-03-13,NaT
103882,<NA>,"Venoms, Honey Bee Venom",<NA>,N/A,,Y,2024-03-13,NaT
103883,<NA>,"Venoms, Mixed Vespid Venom Protein",<NA>,N/A,,Y,2024-03-13,NaT
103884,<NA>,"Venoms, Wasp Venom Protein",<NA>,N/A,,Y,2024-03-13,NaT
103885,<NA>,"Venoms, White Faced Hornet Venom Protein",<NA>,N/A,,Y,2024-03-13,NaT
103886,<NA>,"Venoms, Yellow Hornet Venom Protein",<NA>,N/A,,Y,2024-03-13,NaT
103887,<NA>,"Venoms, Yellow Jacket Venom Protein",<NA>,N/A,,Y,2024-03-13,NaT
103889,<NA>,"Animal Allergens, Standardized Cat Hair",<NA>,N/A,,Y,2024-03-13,NaT
103890,<NA>,"Animal Allergens, Standardized Cat Pelt",<NA>,N/A,,Y,2024-03-13,NaT
103891,<NA>,Positive Skin Test Control-Histamine,<NA>,N/A,,Y,2024-03-13,NaT
103905,prevnar,Pneumococcal 7-valent Conjugate Vaccine (Diphtheria CRM197 Protein),<NA>,<NA>,,Y,2000-02-17,NaT
103907,Pediarix,"Diphtheria and Tetanus Toxoids and Acellular Pertussis Adsorbed, Hepatitis B (Recombinant) and Inactivated Poliovirus Vaccine",<NA>,N/A,,Y,2002-12-13,NaT
103910,Digifab,Digoxin Immune Fab (Ovine),<NA>,N/A,,Y,2001-08-31,NaT
103913,<NA>,Tetanus Toxoid Adsorbed,<NA>,<NA>,,Y,1999-12-09,NaT
103914,"Fluzone, Fluzone Hd Quadrivalent, Fluzone High Dose, Fluzone Intradermal, Fluzone Quadrivalent",Influenza Virus Vaccine,<NA>,N/A,,Y,1999-12-09,NaT
103914,"Fluzone, Fluzone Hd Quadrivalent, Fluzone High Dose, Fluzone Intradermal, Fluzone Quadrivalent",Influenza Virus Vaccine,<NA>,N/A,,Y,2009-12-23,NaT
103914,"Fluzone, Fluzone Hd Quadrivalent, Fluzone High Dose, Fluzone Intradermal, Fluzone Quadrivalent",Influenza Virus Vaccine,<NA>,N/A,,Y,2011-05-09,NaT
