ApplNo,ProductNo,PatentNo,PatentExpiration,DrugSubstanceFlag,DrugProductFlag,PatentUseCode,DelistRequested,PediatricExtension,FileDate
204308,001,8778366,,,,U-185,,,
022063,001,9173857,,,,U-2025,,,
205637,003,9655843,,,Y,U-2017,,,
207932,001,9655843,,,Y,U-1556,,,
207932,003,9655843,,,Y,U-1556,,,
202788,001,9642797,,,Y,U-55,,,
202788,002,9642797,,,Y,U-55,,,
202788,003,9642797,,,Y,U-55,,,
202788,005,9289387,,,Y,U-55,,,
202788,006,9289387,,,Y,U-55,,,
205637,001,9655843,,,Y,U-2017,,,
021038,004,8455527,,,,U-421,,,
021775,001,8946262,,,,U-1655,,,
202971,001,8338427,,,Y,U-543,,,
202971,002,8338427,,,Y,U-543,,,
202971,003,8338427,,,Y,U-1633,,,
203312,001,8454998,,,Y,U-1645,,,
203312,001,8454998,,,Y,U-1649,,,
203312,001,8454998,,,Y,U-1646,,,
203312,002,8454998,,,Y,U-1649,,,
203312,002,8454998,,,Y,U-219,,,
203312,002,8454998,,,Y,U-1647,,,
203312,003,8454998,,,Y,U-1645,,,
203312,003,8454998,,,Y,U-1647,,,
203312,003,8454998,,,Y,U-1649,,,
203312,003,8454998,,,Y,U-219,,,
203312,004,8454998,,,Y,U-1646,,,
203312,004,8454998,,,Y,U-219,,,
203312,004,8454998,,,Y,U-1645,,,
205552,001,8999999,,,,U-1684,,,
022192,004,8652776,,,,U-1685,,,
203312,002,8557283,,,Y,U-219,,,
203312,002,8557283,,,Y,U-1645,,,
022192,007,8652776,,,,U-1685,,,
022291,002,8071129,,,Y,U-1714,,,
205858,002,RE44599,,,,U-1615,,,
205858,001,8865730,,Y,Y,U-1615,,,
205858,001,RE44599,,,,U-1558,,,
204623,001,9066913,,,Y,U-1488,,,
205422,002,8618109,,,,U-543,,,
050444,001,9084802,,,,U-282,,,
022291,001,8052993,,,Y,U-1306,,,
022291,001,8052993,,,Y,U-2451,,,
022291,002,7547719,,Y,Y,U-1575,,,
022291,002,7547719,,Y,Y,U-2452,,,
022291,003,8062665,,,Y,U-1306,,,
022291,003,7547719,,Y,Y,U-2451,,,
022291,003,7547719,,Y,Y,U-1575,,,
022291,004,8071129,,,Y,U-2451,,,
022291,004,8071129,,,Y,U-930,,,
021196,001,10213400,,,,U-2499,,,
205787,001,10220158,,,Y,U-2500,,,
202810,002,10220042,,,,U-2501,,,
204623,001,9339551,,,,U-1488,,,
207958,003,9339489,,,Y,U-1850,,,
021923,001,9737488,,,Y,U-2107,,,
021923,001,9737488,,,Y,U-1480,,,
207958,004,9339489,,,Y,U-1850,,,
050795,008,9295652,,,Y,U-918,,,
208026,002,9173859,,,Y,U-1503,,,
202880,002,9421200,,,,U-1810,,,
202880,002,9433619,,,,U-1810,,,
202880,003,9433619,,,,U-1810,,,
202880,003,9421200,,,,U-1810,,,
202880,004,9421200,,,,U-1810,,,
202880,006,9433619,,,,U-1810,,,
202880,006,9421200,,,,U-1810,,,
207621,002,8685443,,,,U-1508,,,
207621,001,8685443,,,,U-1508,,,
207621,003,8685443,,,,U-1508,,,
207621,005,8685443,,,,U-1508,,,
207621,006,8685443,,,,U-1508,,,
022201,002,9415085,,,,U-1895,,,
202278,001,9427578,,,Y,U-1328,,,
207620,001,9388134,,,,U-1723,,,
207620,003,9388134,,,,U-1723,,,
204242,006,8658198,,,Y,U-1494,,,
203188,001,8324242,,,,U-1311,,,
204242,006,8470361,,,Y,U-1425,,,
205739,002,9492476,,,,U-1766,,,
206627,001,9545380,,,,U-1556,,,
206627,003,9545380,,,,U-1556,,,
205739,003,9492476,,,,U-1766,,,
206940,001,8772325,,,,U-1709,,,
021660,001,9511046,,,,U-1434,,,
206627,004,9545380,,,,U-1556,,,
209531,001,8110560,,,,U-1943,,,
209531,001,8110560,,,,U-1944,,,
208325,002,8999932,,Y,Y,U-2014,,,
206099,001,9649456,,,Y,U-1719,,,
208944,001,8895615,,,,U-2106,,,
208944,001,8389578,,,,U-2105,,,
208944,002,8741343,,,,U-2106,,,
208944,002,8895615,,,,U-2106,,,
202155,001,6967208,,Y,Y,U-1501,,,
202155,001,6967208,,Y,Y,U-1200,,,
202155,001,6967208,,Y,Y,U-1302,,,
