IngredientRxCUI,ProductRxCUI,NDC11,PackSize,UoM,UnitsPerPack,GTIN,RefrigeratedFlag,IsCurrent
153165,259255,24658051090,,,,,0,1
153165,259255,31722042705,,,,,0,1
153165,259255,31722042710,,,,,0,1
153165,259255,31722042790,,,,,0,1
153165,259255,42385094301,,,,,0,1
153165,259255,42385094305,,,,,0,1
153165,259255,42385094308,,,,,0,1
153165,259255,42385094310,,,,,0,1
153165,259255,42385094311,,,,,0,1
153165,259255,42385094330,,,,,0,1
153165,259255,42385094364,,,,,0,1
153165,259255,42385094368,,,,,0,1
153165,259255,42385094390,,,,,0,1
153165,259255,42571017510,,,,,0,1
153165,259255,42571017524,,,,,0,1
153165,259255,42571017530,,,,,0,1
153165,259255,42571017532,,,,,0,1
153165,259255,42571017590,,,,,0,1
153165,259255,43063048790,,,,,0,1
153165,259255,43353018415,,,,,0,1
153165,259255,43353018430,,,,,0,1
153165,259255,43353018445,,,,,0,1
153165,259255,43353018460,,,,,0,1
153165,259255,43353032115,,,,,0,1
153165,259255,43353032130,,,,,0,1
153165,259255,43353032145,,,,,0,1
153165,259255,43353032160,,,,,0,1
153165,259255,43353081515,,,,,0,1
153165,259255,43353081530,,,,,0,1
153165,259255,43353081545,,,,,0,1
153165,259255,43353081560,,,,,0,1
153165,259255,43353081579,,,,,0,1
153165,259255,43353082715,,,,,0,1
153165,259255,43353082730,,,,,0,1
153165,259255,43353082745,,,,,0,1
153165,259255,43353082753,,,,,0,1
153165,259255,43353082760,,,,,0,1
153165,259255,43353084360,,,,,0,1
153165,259255,43353098115,,,,,0,1
153165,259255,43353098130,,,,,0,1
153165,259255,43353098145,,,,,0,1
153165,259255,43353098160,,,,,0,1
153165,259255,43598010305,,,,,0,1
153165,259255,43598010310,,,,,0,1
153165,259255,43598010381,,,,,0,1
153165,259255,43598010390,,,,,0,1
153165,259255,43598083305,,,,,0,1
153165,259255,43598083379,,,,,0,1
153165,259255,43598083381,,,,,0,1
153165,259255,43598083390,,,,,0,1
153165,259255,50090126400,,,,,0,1
153165,259255,50090126401,,,,,0,1
153165,259255,50090468500,,,,,0,1
153165,259255,50090468501,,,,,0,1
153165,259255,50090505100,,,,,0,1
153165,259255,50090505101,,,,,0,1
153165,259255,50090529800,,,,,0,1
153165,259255,50090529801,,,,,0,1
153165,259255,50090605400,,,,,0,1
153165,259255,50090605401,,,,,0,1
153165,259255,50090605402,,,,,0,1
153165,259255,50090605700,,,,,0,1
153165,259255,50090605701,,,,,0,1
153165,259255,50090606100,,,,,0,1
153165,259255,50090606101,,,,,0,1
153165,259255,50090606102,,,,,0,1
153165,259255,50090650500,,,,,0,1
153165,259255,50090650501,,,,,0,1
153165,259255,50090650502,,,,,0,1
153165,259255,50090650600,,,,,0,1
153165,259255,50090697000,,,,,0,1
153165,259255,50090735800,,,,,0,1
153165,259255,50090735801,,,,,0,1
153165,259255,50090735802,,,,,0,1
153165,259255,50090735900,,,,,0,1
153165,259255,50090753200,,,,,0,1
153165,259255,50090753201,,,,,0,1
153165,259255,50090753202,,,,,0,1
153165,259255,50090753300,,,,,0,1
153165,259255,50228045405,,,,,0,1
153165,259255,50228045490,,,,,0,1
153165,259255,50268009611,,,,,0,1
153165,259255,50268009612,,,,,0,1
153165,259255,51079021101,,,,,0,1
153165,259255,51079021103,,,,,0,1
153165,259255,51407008105,,,,,0,1
153165,259255,51407008190,,,,,0,1
153165,259255,51655074752,,,,,0,1
153165,259255,51655088030,,,,,0,1
153165,259255,51655088130,,,,,0,1
153165,259255,55111012405,,,,,0,1
153165,259255,55111012430,,,,,0,1
153165,259255,55111012460,,,,,0,1
153165,259255,55111012490,,,,,0,1
153165,259255,55154438406,,,,,0,1
153165,259255,55154498300,,,,,0,1
153165,259255,55154728900,,,,,0,1
153165,259255,55700003430,,,,,0,1
153165,259255,59651060905,,,,,0,1
153165,259255,59651060930,,,,,0,1
153165,259255,59651060990,,,,,0,1
153165,259255,59651060999,,,,,0,1
153165,259255,59762015801,,,,,0,1
153165,259255,59762015802,,,,,0,1
153165,259255,60429032605,,,,,0,1
153165,259255,60429032690,,,,,0,1
153165,259255,60505267100,,,,,0,1
153165,259255,60505267103,,,,,0,1
153165,259255,60505267105,,,,,0,1
153165,259255,60505267107,,,,,0,1
153165,259255,60505267108,,,,,0,1
153165,259255,60505267109,,,,,0,1
153165,259255,61919053130,,,,,0,1
153165,259255,61919053190,,,,,0,1
153165,259255,62175089741,,,,,0,1
153165,259255,62175089746,,,,,0,1
153165,259255,63187065630,,,,,0,1
153165,259255,63187065660,,,,,0,1
153165,259255,63187065690,,,,,0,1
153165,259255,63187090730,,,,,0,1
153165,259255,63187090760,,,,,0,1
153165,259255,63187090790,,,,,0,1
153165,259255,63304083005,,,,,0,1
153165,259255,63304083090,,,,,0,1
153165,259255,63629847201,,,,,0,1
153165,259255,63739003733,,,,,0,1
153165,259255,67046135103,,,,,0,1
153165,259255,67046145403,,,,,0,1
153165,259255,67296205309,,,,,0,1
153165,259255,67296205509,,,,,0,1
153165,259255,67877051405,,,,,0,1
153165,259255,67877051410,,,,,0,1
153165,259255,67877051433,,,,,0,1
153165,259255,67877051438,,,,,0,1
153165,259255,67877051490,,,,,0,1
153165,259255,68071227609,,,,,0,1
153165,259255,68071276509,,,,,0,1
153165,259255,68071496209,,,,,0,1
153165,259255,68084059025,,,,,0,1
153165,259255,68084059095,,,,,0,1
153165,259255,68180063802,,,,,0,1
153165,259255,68180063806,,,,,0,1
153165,259255,68180063809,,,,,0,1
153165,259255,68382025201,,,,,0,1
153165,259255,68382025205,,,,,0,1
153165,259255,68382025206,,,,,0,1
153165,259255,68382025210,,,,,0,1
153165,259255,68382025216,,,,,0,1
153165,259255,68382025230,,,,,0,1
153165,259255,68382025277,,,,,0,1
153165,259255,68645046154,,,,,0,1
153165,259255,68645049554,,,,,0,1
153165,259255,68788813201,,,,,0,1
