BLANumber,ProperName,ProprietaryName,Applicant,DosageForm,Route,Strength,ReferenceProductName,IsReferenceProductFlag,BLAApprovalDate
103196,Antithrombin III (Human),Thrombate Iii,Grifols Therapeutics LLC,For Injection,Intravenous,500IU,N/A,Y,1991-12-30
103234,epoetin alfa,Epogen/Procrit,Amgen Inc.,Injection,"Intravenous, Subcutaneous","10,000UNITS/ML",N/A,Y,1989-06-01
103234,epoetin alfa,Epogen/Procrit,Amgen Inc.,Injection,"Intravenous, Subcutaneous","20,000UNITS/2ML (10,000UNITS/ML)",N/A,Y,NaT
103234,epoetin alfa,Epogen/Procrit,Amgen Inc.,Injection,"Intravenous, Subcutaneous","20,000UNITS/ML",N/A,Y,NaT
103234,epoetin alfa,Epogen/Procrit,Amgen Inc.,Injection,"Intravenous, Subcutaneous","2,000UNITS/ML",N/A,Y,1989-06-01
103234,epoetin alfa,Epogen/Procrit,Amgen Inc.,Injection,"Intravenous, Subcutaneous","3,000UNITS/ML",N/A,Y,1989-06-01
103234,epoetin alfa,Procrit,Amgen Inc.,Injection,"Intravenous, Subcutaneous","40,000UNITS/ML",N/A,Y,NaT
103234,epoetin alfa,Epogen/Procrit,Amgen Inc.,Injection,"Intravenous, Subcutaneous","4,000UNITS/ML",N/A,Y,1989-06-01
103237,Haemophilus b Conjugate Vaccine (Meningococcal Protein Conjugate),Pedvaxhib,Merck Sharp & Dohme LLC,Injection,Intramuscular,7.5UG/.5ML,N/A,Y,1989-12-20
103239,Hepatitis B Vaccine (Recombinant),Engerix-B,GlaxoSmithKline Biologicals,Injection,Intramuscular,20UG/ML,N/A,Y,1989-08-28
103239,Hepatitis B Vaccine (Recombinant),Engerix-B,GlaxoSmithKline Biologicals,Injection,Intramuscular,10UG/.5ML,N/A,Y,1989-08-28
103249,Coagulation Factor IX (Human),"Alphanine, Alphanine Hp, Alphanine Sd",Grifols Biologicals LLC,Injection,Intravenous,500IU,N/A,Y,1990-12-31
103249,Coagulation Factor IX (Human),"Alphanine, Alphanine Hp, Alphanine Sd",Grifols Biologicals LLC,Injection,Intravenous,1000IU,N/A,Y,1990-12-31
103249,Coagulation Factor IX (Human),"Alphanine, Alphanine Hp, Alphanine Sd",Grifols Biologicals LLC,Injection,Intravenous,250IU,N/A,Y,1990-12-31
103249,Coagulation Factor IX (Human),"Alphanine, Alphanine Hp, Alphanine Sd",Grifols Biologicals LLC,Injection,Intravenous,1500IU,N/A,Y,1990-12-31
103257,Candida albicans Skin Test Antigen for Cellular Hypersensitivity,Candin,"Nielsen Bioscience, Inc",Injection,Intradermal,1U/.1ML,N/A,Y,1995-11-27
103293,aldesleukin,Proleukin,Iovance Biotherapeutics Manufacturing LLC,For Injection,Intravenous,22MILLION INTERNATIONAL UNITS (1.3MG),N/A,Y,1992-05-05
103317,Positive Skin Test Control-Histamine,<NA>,"Nielsen Bioscience, Inc",Injection,Percutaneous,1.8MG/ML,N/A,Y,1992-02-14
103324,"Animal Allergens, Standardized Cat Hair",<NA>,"Allergy Laboratories, Inc.",Injection,Percutaneous,"10,000BAU/ML",N/A,Y,2030-07-11
103324,"Animal Allergens, Standardized Cat Hair",<NA>,"Allergy Laboratories, Inc.",Injection,Subcutaneous,"10,000BAU/ML",N/A,Y,2030-07-11
103332,Antihemophilic Factor (Recombinant),"Helixate Fs, Kogenate, Kogenate Fs",Bayer HealthCare LLC,For Injection,Intravenous,250IU,N/A,Y,2002-08-20
103332,Antihemophilic Factor (Recombinant),"Helixate Fs, Kogenate, Kogenate Fs",Bayer HealthCare LLC,For Injection,Intravenous,500IU,N/A,Y,2002-08-20
103332,Antihemophilic Factor (Recombinant),"Helixate Fs, Kogenate, Kogenate Fs",Bayer HealthCare LLC,For Injection,Intravenous,1000IU,N/A,Y,2002-08-20
103332,Antihemophilic Factor (Recombinant),"Helixate Fs, Kogenate, Kogenate Fs",Bayer HealthCare LLC,For Injection,Intravenous,2000IU,N/A,Y,2007-06-07
103332,Antihemophilic Factor (Recombinant),"Helixate Fs, Kogenate, Kogenate Fs",Bayer HealthCare LLC,For Injection,Intravenous,3000IU,N/A,Y,2009-07-31
103334,Rabies Vaccine,Rabavert,Bavarian Nordic A/S,For Injection,Intramuscular,2.5IU,N/A,Y,1997-10-20
103352,Albumin (Human),Human Albumin Grifols,"Instituto Grifols, S.A.",Injection,Intravenous,12.5G/50ML,N/A,Y,1995-02-17
103352,Albumin (Human),Human Albumin Grifols,"Instituto Grifols, S.A.",Injection,Intravenous,20G/100ML,N/A,Y,2003-06-11
103352,Albumin (Human),Human Albumin Grifols,"Instituto Grifols, S.A.",Injection,Intravenous,10G/50ML,N/A,Y,1995-02-17
103352,Albumin (Human),Human Albumin Grifols,"Instituto Grifols, S.A.",Injection,Intravenous,25G/100ML,N/A,Y,2003-06-11
103353,filgrastim,Neupogen,Amgen Inc.,Injection,"Intravenous, Subcutaneous",300MCG/ML,N/A,Y,1991-02-20
103353,filgrastim,Neupogen,Amgen Inc.,Injection,"Intravenous, Subcutaneous",480MCG/1.6ML,N/A,Y,1991-02-20
103353,filgrastim,Neupogen,Amgen Inc.,Injection,Subcutaneous,300MCG/0.5ML,N/A,Y,2000-06-28
103353,filgrastim,Neupogen,Amgen Inc.,Injection,Subcutaneous,480MCG/0.8ML,N/A,Y,2000-06-28
103362,sargramostim,Leukine,"Partner Therapeutics, Inc.",For Injection,"Intravenous, Subcutaneous",250MCG,N/A,Y,1991-03-05
103362,sargramostim,Leukine,"Partner Therapeutics, Inc.",Injection,"Intravenous, Subcutaneous",500MCG/ML,N/A,Y,1991-03-05
103375,Antihemophilic Factor (Recombinant),"Bioclate (Armour), Recombinate","Takeda Pharmaceuticals U.S.A., Inc.",For Injection,Intravenous,1000IU,N/A,Y,1992-12-10
103375,Antihemophilic Factor (Recombinant),"Bioclate (Armour), Recombinate","Takeda Pharmaceuticals U.S.A., Inc.",For Injection,Intravenous,500IU,N/A,Y,1992-12-10
103375,Antihemophilic Factor (Recombinant),"Bioclate (Armour), Recombinate","Takeda Pharmaceuticals U.S.A., Inc.",For Injection,Intravenous,250IU,N/A,Y,1992-12-10
103375,Antihemophilic Factor (Recombinant),"Bioclate (Armour), Recombinate","Takeda Pharmaceuticals U.S.A., Inc.",For Injection,Intravenous,1500IU,N/A,Y,2010-03-10
103375,Antihemophilic Factor (Recombinant),"Bioclate (Armour), Recombinate","Takeda Pharmaceuticals U.S.A., Inc.",For Injection,Intravenous,2000IU,N/A,Y,2010-03-10
103397,"Animal Allergens, Standardized Cat Hair",<NA>,"Greer Laboratories, Inc.",Injection,Percutaneous,"10,000BAU/ML",N/A,Y,2058-09-15
103397,"Animal Allergens, Standardized Cat Hair",<NA>,"Greer Laboratories, Inc.",Injection,Intradermal,"10,000BAU/ML",N/A,Y,2058-09-15
103397,"Animal Allergens, Standardized Cat Hair",<NA>,"Greer Laboratories, Inc.",Injection,Subcutaneous,"10,000BAU/ML",N/A,Y,2058-09-15
103397,"Animal Allergens, Standardized Cat Hair",<NA>,"Greer Laboratories, Inc.",Injection,Intradermal,"5,000BAU/ML",N/A,Y,2058-09-15
103397,"Animal Allergens, Standardized Cat Hair",<NA>,"Greer Laboratories, Inc.",Injection,Subcutaneous,"5,000BAU/ML",N/A,Y,2058-09-15
103397,"Animal Allergens, Standardized Cat Hair",<NA>,"Greer Laboratories, Inc.",Injection,Percutaneous,"5,000BAU/ML",N/A,Y,2058-09-15
103411,pegaspargase,Oncaspar,Servier Pharmaceuticals LLC,Injection,"Intravenous, Intramuscular","3,750IU/5ML(750IU/ML)",N/A,Y,1994-02-01
103463,muromonab-CD3,Orthoclone OKT3,"Centocor Ortho Biotech Products, L.P.",Injection,Intravenous,1MG/ML,N/A,Y,1992-09-14
103471,interferon beta-1b,Betaseron,Bayer HealthCare Pharmaceuticals Inc.,For Injection,Subcutaneous,0.3MG,N/A,Y,1993-07-23
103473,"Animal Allergens, Standardized Cat Hair",<NA>,"Allermed Laboratories, Inc.",Injection,Percutaneous,"10,000BAU/ML",N/A,Y,2074-03-12
103473,"Animal Allergens, Standardized Cat Hair",<NA>,"Allermed Laboratories, Inc.",Injection,Subcutaneous,"10,000BAU/ML",N/A,Y,2074-03-12
103475,Hepatitis A Vaccine,Havrix,GlaxoSmithKline Biologicals,Injection,Intramuscular,720ELISA U/.5ML,N/A,Y,1995-02-22
103475,Hepatitis A Vaccine,Havrix,GlaxoSmithKline Biologicals,Injection,Intramuscular,1440ELISA U/ML,N/A,Y,1995-02-22
103532,dornase alfa,Pulmozyme,"Genentech, Inc.",Solution,Inhalation,2.5MG/2.5ML (1MG/ML),N/A,Y,1993-12-30
103552,Varicella Virus Vaccine Live,Varivax,Merck Sharp & Dohme LLC,For Injection,Subcutaneous,NLT  1350PFU/.5ML,N/A,Y,1995-03-17
103552,Varicella Virus Vaccine Live,Varivax,Merck Sharp & Dohme LLC,For Injection,Intramuscular,NLT  1350PFU/.5ML,N/A,Y,2023-02-27
103569,Plague Vaccine,<NA>,"Greer Laboratories, Inc.",Injection,Intramuscular,2BIL. CELL/ML,N/A,Y,1994-10-05
103575,abciximab,Reopro,"Janssen Biotech, Inc.",Injection,Intravenous,2MG/ML,N/A,Y,1994-12-22
103606,Hepatitis A Vaccine Inactivated,Vaqta,Merck Sharp & Dohme LLC,Injection,Intramuscular,50U/ML,N/A,Y,1996-03-29
103606,Hepatitis A Vaccine Inactivated,Vaqta,Merck Sharp & Dohme LLC,Injection,Intramuscular,25U/.5ML,N/A,Y,1996-03-29
103608,capromab pendetide,ProstaScint,"Aytu BioScience, Inc.",Injection,Intravenous,0.5MG/1ML,N/A,Y,1996-10-28
103623,Haemophilus b Conjugate (Meningococcal Protein Conjugate) and Hepatitis B (Recombinant) Vaccine,COMVAX,Merck Sharp & Dohme LLC,Injection,Intramuscular,7.5UG PRP/125UG OMPC/5UG HBsAg,<NA>,N,1996-10-02
103628,interferon beta-1a,Avonex,Biogen Inc.,For Injection,Intramuscular,30MCG,N/A,Y,1996-05-17
103628,interferon beta-1a,Avonex,Biogen Inc.,Injection,Intramuscular,30MCG/0.5ML,N/A,Y,2003-05-28
103628,interferon beta-1a,Avonex,Biogen Inc.,Injection,Intramuscular,30MCG/0.5ML,N/A,Y,2012-02-27
103647,Diphtheria & Tetanus Toxoids & Acellular Pertussis Vaccine Adsorbed,Infanrix,GlaxoSmithKline Biologicals,Injection,Intramuscular,25LF/10LF/25UG/.5ML,N/A,Y,1997-01-29
103649,Rho(D) Immune Globulin Intravenous (Human),"Winrho Sd, Winrho Sdf Liquid, Winrho Sdf Lyophilized",Kamada Ltd.,For Injection,Intramuscular,5000IU,N/A,Y,1996-04-02
103649,Rho(D) Immune Globulin Intravenous (Human),"Winrho Sd, Winrho Sdf Liquid, Winrho Sdf Lyophilized",Kamada Ltd.,For Injection,Intravenous,5000IU,N/A,Y,1996-04-02
103649,Rho(D) Immune Globulin Intravenous (Human),"Winrho Sd, Winrho Sdf Liquid, Winrho Sdf Lyophilized",Kamada Ltd.,For Injection,Intramuscular,1500IU,N/A,Y,1996-04-02
103649,Rho(D) Immune Globulin Intravenous (Human),"Winrho Sd, Winrho Sdf Liquid, Winrho Sdf Lyophilized",Kamada Ltd.,For Injection,Intravenous,1500IU,N/A,Y,1996-04-02
103649,Rho(D) Immune Globulin Intravenous (Human),"Winrho Sd, Winrho Sdf Liquid, Winrho Sdf Lyophilized",Kamada Ltd.,For Injection,Intramuscular,600IU,N/A,Y,1996-04-02
103649,Rho(D) Immune Globulin Intravenous (Human),"Winrho Sd, Winrho Sdf Liquid, Winrho Sdf Lyophilized",Kamada Ltd.,For Injection,Intravenous,600IU,N/A,Y,1996-04-02
103649,Rho(D) Immune Globulin Intravenous (Human),"Winrho Sd, Winrho Sdf Liquid, Winrho Sdf Lyophilized",Kamada Ltd.,Injection,Intramuscular,15000IU,N/A,Y,2005-03-31
103649,Rho(D) Immune Globulin Intravenous (Human),"Winrho Sd, Winrho Sdf Liquid, Winrho Sdf Lyophilized",Kamada Ltd.,Injection,Intravenous,15000IU,N/A,Y,2005-03-31
103649,Rho(D) Immune Globulin Intravenous (Human),"Winrho Sd, Winrho Sdf Liquid, Winrho Sdf Lyophilized",Kamada Ltd.,Injection,Intramuscular,5000IU,N/A,Y,2005-03-31
103649,Rho(D) Immune Globulin Intravenous (Human),"Winrho Sd, Winrho Sdf Liquid, Winrho Sdf Lyophilized",Kamada Ltd.,Injection,Intravenous,5000IU,N/A,Y,2005-03-31
103649,Rho(D) Immune Globulin Intravenous (Human),"Winrho Sd, Winrho Sdf Liquid, Winrho Sdf Lyophilized",Kamada Ltd.,Injection,Intramuscular,2500IU,N/A,Y,2005-03-31
103649,Rho(D) Immune Globulin Intravenous (Human),"Winrho Sd, Winrho Sdf Liquid, Winrho Sdf Lyophilized",Kamada Ltd.,Injection,Intravenous,2500IU,N/A,Y,2005-03-31
103649,Rho(D) Immune Globulin Intravenous (Human),"Winrho Sd, Winrho Sdf Liquid, Winrho Sdf Lyophilized",Kamada Ltd.,Injection,Intramuscular,1500IU,N/A,Y,2005-03-31
103649,Rho(D) Immune Globulin Intravenous (Human),"Winrho Sd, Winrho Sdf Liquid, Winrho Sdf Lyophilized",Kamada Ltd.,Injection,Intravenous,1500IU,N/A,Y,2005-03-31
103649,Rho(D) Immune Globulin Intravenous (Human),"Winrho Sd, Winrho Sdf Liquid, Winrho Sdf Lyophilized",Kamada Ltd.,Injection,Intramuscular,600IU,N/A,Y,2005-03-31
103649,Rho(D) Immune Globulin Intravenous (Human),"Winrho Sd, Winrho Sdf Liquid, Winrho Sdf Lyophilized",Kamada Ltd.,Injection,Intravenous,600IU,N/A,Y,2005-03-31
103649,Rho(D) Immune Globulin Intravenous (Human),"Winrho Sd, Winrho Sdf Liquid, Winrho Sdf Lyophilized",Kamada Ltd.,Injection,Intravenous,15000IU,N/A,Y,2015-12-18
103649,Rho(D) Immune Globulin Intravenous (Human),"Winrho Sd, Winrho Sdf Liquid, Winrho Sdf Lyophilized",Kamada Ltd.,Injection,Intramuscular,15000IU,N/A,Y,2015-12-18
103661,Autologous Cultured Chondrocytes,Carticel Sm Service,Vericel Corporation,Injection,Implantation,12MIU/VL,N/A,Y,1997-08-22
103663,interferon alfacon-1,Infergen,Kadmon Pharmaceuticals LLC,Injection,Subcutaneous,9MCG/0.3ML (30MCG/ML),N/A,Y,1997-10-06
103665,Coagulation Factor VIIa (Recombinant),"Novoseven, Novoseven Rt",Novo Nordisk Inc.,For Injection,Intravenous,2.4MG,N/A,Y,1999-03-25
103665,Coagulation Factor VIIa (Recombinant),"Novoseven, Novoseven Rt",Novo Nordisk Inc.,For Injection,Intravenous,1.2MG,N/A,Y,2000-11-15
103665,Coagulation Factor VIIa (Recombinant),"Novoseven, Novoseven Rt",Novo Nordisk Inc.,For Injection,Intravenous,4.8MG,N/A,Y,2000-11-15
103665,Coagulation Factor VIIa (Recombinant),"Novoseven, Novoseven Rt",Novo Nordisk Inc.,For Injection,Intravenous,5.0MG,N/A,Y,2008-05-09
103665,Coagulation Factor VIIa (Recombinant),"Novoseven, Novoseven Rt",Novo Nordisk Inc.,For Injection,Intravenous,1.0MG,N/A,Y,2008-05-09
103665,Coagulation Factor VIIa (Recombinant),"Novoseven, Novoseven Rt",Novo Nordisk Inc.,For Injection,Intravenous,2.0MG,N/A,Y,2008-05-09
103665,Coagulation Factor VIIa (Recombinant),"Novoseven, Novoseven Rt",Novo Nordisk Inc.,For Injection,Intravenous,8.0MG,N/A,Y,2010-08-06
103666,Diphtheria & Tetanus Toxoids & Acellular Pertussis Vaccine Adsorbed,Daptacel,Sanofi Pasteur Limited,Injection,Intramuscular,0.5ML,N/A,Y,2002-05-14
103676,"Lymphocyte Immune Globulin, Anti-thymocyte Globulin (Equine)",Atgam,Pharmacia & Upjohn Company LLC,Injection,Intravenous,50MG/ML,N/A,Y,1996-12-04
103677,Coagulation Factor IX (Recombinant),Benefix,Wyeth Pharmaceuticals LLC,For Injection,Intravenous,1000IU/ML,N/A,Y,1997-02-11
103677,Coagulation Factor IX (Recombinant),Benefix,Wyeth Pharmaceuticals LLC,For Injection,Intravenous,500IU/ML,N/A,Y,1997-02-11
103677,Coagulation Factor IX (Recombinant),Benefix,Wyeth Pharmaceuticals LLC,For Injection,Intravenous,250IU/ML,N/A,Y,1997-02-11
103677,Coagulation Factor IX (Recombinant),Benefix,Wyeth Pharmaceuticals LLC,For Injection,Intravenous,2000IU/ML,N/A,Y,2007-03-21
103677,Coagulation Factor IX (Recombinant),Benefix,Wyeth Pharmaceuticals LLC,For Injection,Intravenous,3000IU/ML,N/A,Y,2011-11-23
