ApplNo,ProductNo,TradeName,ActiveIngredient,Strength,DosageForm,Route,MarketingStatus,TECode,ReferenceListedDrugFlag,ReferenceStandardFlag,ApplicantName,ApplType,ApplStatus,FirstApprovalDate
211699,002,BREYNA,BUDESONIDE; FORMOTEROL FUMARATE DIHYDRATE,0.16MG/INH;0.0045MG/INH,"AEROSOL, METERED",INHALATION,RX,AB,N,N,MYLAN PHARMACEUTICALS INC,A,Active,2022-03-15
212122,001,BREZTRI AEROSPHERE,BUDESONIDE; FORMOTEROL FUMARATE; GLYCOPYRROLATE,0.16MG/INH;0.0048MG/INH;0.009MG/INH,"AEROSOL, METERED",INHALATION,RX,,Y,Y,ASTRAZENECA AB,N,Active,2020-07-23
018000,001,BRICANYL,TERBUTALINE SULFATE,0.2MG/INH,"AEROSOL, METERED",INHALATION,DISCN,,N,N,SANOFI AVENTIS US LLC,N,Discontinued,1985-03-19
019912,001,BRONCHO SALINE,SODIUM CHLORIDE,0.9%,"AEROSOL, METERED",INHALATION,DISCN,,Y,N,BLAIREX LABORATORIES INC,N,Discontinued,1992-09-03
016126,002,BRONITIN MIST,EPINEPHRINE BITARTRATE,0.3MG/INH,"AEROSOL, METERED",INHALATION,DISCN,,N,N,WYETH CONSUMER HEALTHCARE,N,Discontinued,1982-01-01
016803,001,BRONKAID MIST,EPINEPHRINE,0.25MG/INH,"AEROSOL, METERED",INHALATION,DISCN,,N,N,STERLING HEALTH DIV STERLING WINTHROP INC,N,Discontinued,1982-01-01
012339,007,BRONKOMETER,ISOETHARINE MESYLATE,0.34MG/INH,"AEROSOL, METERED",INHALATION,DISCN,,N,N,SANOFI AVENTIS US LLC,N,Discontinued,1982-01-01
020291,001,COMBIVENT,ALBUTEROL SULFATE; IPRATROPIUM BROMIDE,EQ 0.09MG BASE/INH;0.018MG/INH,"AEROSOL, METERED",INHALATION,DISCN,,N,N,BOEHRINGER INGELHEIM PHARMACEUTICALS INC,N,Discontinued,1996-10-24
013413,001,DEXACORT,DEXAMETHASONE SODIUM PHOSPHATE,EQ 0.1MG PHOSPHATE/INH,"AEROSOL, METERED",INHALATION,DISCN,,N,N,UCB INC,N,Discontinued,1982-01-01
022518,003,DULERA,FORMOTEROL FUMARATE; MOMETASONE FUROATE,0.005MG/INH;0.05MG/INH,"AEROSOL, METERED",INHALATION,RX,,Y,Y,ORGANON LLC,N,Active,2010-06-22
022518,001,DULERA,FORMOTEROL FUMARATE; MOMETASONE FUROATE,0.005MG/INH;0.1MG/INH,"AEROSOL, METERED",INHALATION,RX,,Y,Y,ORGANON LLC,N,Active,2010-06-22
022518,002,DULERA,FORMOTEROL FUMARATE; MOMETASONE FUROATE,0.005MG/INH;0.2MG/INH,"AEROSOL, METERED",INHALATION,RX,,Y,Y,ORGANON LLC,N,Active,2010-06-22
013296,001,DUO-MEDIHALER,ISOPROTERENOL HYDROCHLORIDE; PHENYLEPHRINE BITARTRATE,0.16MG/INH;0.24MG/INH,"AEROSOL, METERED",INHALATION,DISCN,,N,N,3M PHARMACEUTICALS INC,N,Discontinued,1982-01-01
087907,001,EPINEPHRINE,EPINEPHRINE,0.2MG/INH,"AEROSOL, METERED",INHALATION,DISCN,,N,N,ARMSTRONG PHARMACEUTICALS INC,A,Discontinued,1984-05-23
020548,001,FLOVENT,FLUTICASONE PROPIONATE,0.044MG/INH,"AEROSOL, METERED",INHALATION,DISCN,,N,N,GLAXOSMITHKLINE,N,Discontinued,1996-03-27
020548,002,FLOVENT,FLUTICASONE PROPIONATE,0.11MG/INH,"AEROSOL, METERED",INHALATION,DISCN,,N,N,GLAXOSMITHKLINE,N,Discontinued,1996-03-27
020548,003,FLOVENT,FLUTICASONE PROPIONATE,0.22MG/INH,"AEROSOL, METERED",INHALATION,DISCN,,N,N,GLAXOSMITHKLINE,N,Discontinued,1996-03-27
021433,003,FLOVENT HFA,FLUTICASONE PROPIONATE,0.044MG/INH,"AEROSOL, METERED",INHALATION,RX,,Y,Y,GLAXO GROUP LTD DBA GLAXOSMITHKLINE,N,Active,2004-05-14
021433,002,FLOVENT HFA,FLUTICASONE PROPIONATE,0.11MG/INH,"AEROSOL, METERED",INHALATION,RX,,Y,Y,GLAXO GROUP LTD DBA GLAXOSMITHKLINE,N,Active,2004-05-14
021433,001,FLOVENT HFA,FLUTICASONE PROPIONATE,0.22MG/INH,"AEROSOL, METERED",INHALATION,RX,,Y,Y,GLAXO GROUP LTD DBA GLAXOSMITHKLINE,N,Active,2004-05-14
018887,001,INTAL,CROMOLYN SODIUM,0.8MG/INH,"AEROSOL, METERED",INHALATION,DISCN,,N,N,KING PHARMACEUTICALS LLC,N,Discontinued,1985-12-05
087858,001,ISOETHARINE MESYLATE,ISOETHARINE MESYLATE,0.34MG/INH,"AEROSOL, METERED",INHALATION,DISCN,,N,N,ALPHARMA US PHARMACEUTICALS DIVISION,A,Discontinued,1984-08-21
010375,004,ISOPROTERENOL HYDROCHLORIDE,ISOPROTERENOL HYDROCHLORIDE,0.12MG/INH,"AEROSOL, METERED",INHALATION,DISCN,,N,N,3M PHARMACEUTICALS INC,N,Discontinued,1982-01-01
